,143,5130,PGA FM2+,95,178170,
,144,4053,PGA FM2+,65,74300,
,145,4934,PGA FM2+,95,108880,
,146,5094,PGA FM2+,95,76400,
,147,4682,PGA AM3+,95,125700,
,148,5850,PGA AM3+,95,137530,
,149,5850,PGA AM3+,95,139070,
,150,7731,PGA AM3+,95,85700,
,151,7731,PGA AM3+,95,155300,
,152,8018,PGA AM3+,125,193230,
,153,7539,PGA AM3+,95,177900,
,154,8948,PGA AM3+,125,221400,
,155,8948,PGA AM3+,125,327900,
,156,22191,LGA TR4,180,985700,
,157,18308,LGA TR4,180,838500,
,158,15807,LGA TR4,180,435150,
,159,15400,PGA AM4,95,463900,
,160,15400,PGA AM4,95,448500,
,161,15349,PGA AM4,95,353200,
,162,15349,PGA AM4,95,337000,
,163,14811,PGA AM4,65,260900,
,164,12289,PGA AM4,95,245300,
,165,13227,PGA AM4,65,161400,
,166,10063,PGA AM4,65,137800,
,167,8396,PGA AM4,65,126800,
,168,7495,PGA AM4,65,98000,
,169,7096,PGA AM4,65,102500,
,170,17272,PGA AM4,105,316700,
,171,16341,PGA AM4,65,274600,
,172,14645,PGA AM4,95,209800,
,173,14367,PGA AM4,65,179600,
,0,벤치,소켓,전력,가격,
,,,,,,
