,,,제품,단가,제조사,모델,코어클럭,부스트,팬 개수,메모리클럭,길이,8핀,6핀,TDP,정격파워 권장,D-Sub,DVI,m-HDMI,HDMI,m-DP,DP
35,GTX 1080 Ti,,[MSI] 지포스 GTX1080 Ti 아머 OC D5X 11GB,\1098300,MSI,GTX 1080 Ti,1531 MHz,1645 MHz,2,11016 MHz,290mm,2,,250W,600W,,1,,2,,2
36,GTX 1080 Ti,,[MSI] 지포스 GTX1080 Ti 에어로 OC D5X 11GB,\-,MSI,GTX 1080 Ti,1506 MHz,1620 MHz,1,11016 MHz,269mm,1,1,250W,600W,,,,1,,3
37,GTX 1080 Ti,,[PALIT] 지포스 GTX1080 Ti GameRock D5X 11GB,\1378990,PALIT,GTX 1080 Ti,1518 MHz,1632 MHz,2,11000 MHz,285mm,2,,300W,600W,,1,,1,,3
38,GTX 1080 Ti,,[PALIT] 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB,\1023800,PALIT,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,2,,300W,600W,,1,,1,,3
39,GTX 1080 Ti,,[ZOTAC] AMP EXTREME CORE 지포스 GTX1080 Ti D5X 11GB,\1107000,ZOTAC,GTX 1080 Ti,1607 MHz,1721 MHz,3,11200 MHz,325mm,2,,320W,600W,,1,,1,,3
40,GTX 1080 Ti,,[ZOTAC] AMP EXTREME 지포스 GTX1080 Ti D5X 11GB,\-,ZOTAC,GTX 1080 Ti,1645 MHz,1759 MHz,3,11200 MHz,325mm,2,,320W,600W,,1,,1,,3
41,GTX 1080 Ti,,[ZOTAC] AMP 지포스 GTX1080 Ti D5X 11GB,\930000,ZOTAC,GTX 1080 Ti,1569 MHz,1683 MHz,2,11010 MHz,300mm,2,,270W,500W,,1,,1,,3
42,GTX 1080 Ti,,[ZOTAC] 지포스 GTX1080 Ti D5X 11GB BLOWER,\1113600,ZOTAC,GTX 1080 Ti,1480 MHz,1582 MHz,1,11000 MHz,296mm,1,1,250W,600W,,,,1,,3
43,GTX 1080 Ti,,[갤럭시] GALAX 지포스 GTX1080 Ti EXOC D5X 11GB G天命,\1101000,갤럭시,GTX 1080 Ti,1531 MHz,1645 MHz,2,11010 MHz,281mm,2,,250W,600W,,,,1,,3
44,GTX 1080 Ti,,[갤럭시] GALAX 지포스 GTX1080 Ti EXOC White D5X 11GB G天命,\1104800,갤럭시,GTX 1080 Ti,1531 MHz,1645 MHz,2,11010 MHz,281mm,1,1,250W,600W,,,,1,,3
45,GTX 1080 Ti,,[갤럭시] GALAX 지포스 GTX1080 Ti Hall Of Fame D5X 11GB,\-,갤럭시,GTX 1080 Ti,1569 MHz,1683 MHz,3,11010 MHz,313mm,3,,250W,600W,,1,,1,,3
46,GTX 1080 Ti,,[갤럭시] GALAX 지포스 GTX1080 Ti Hall Of Fame D5X 11GB Water Block,\-,갤럭시,GTX 1080 Ti,1569 MHz,1683 MHz,,11010 MHz,303mm,3,,250W,600W,,1,,1,,3
47,GTX 1080 Ti,,[이엠텍] XENON 지포스 GTX1080 Ti JETSTREAM D5X 11GB,\1064000,이엠텍,GTX 1080 Ti,1480 MHz,1582 MHz,2,11000 MHz,285mm,2,,300W,,,1,,1,,3
48,GTX 1080 Ti,,[이엠텍] XENON 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB,\1072700,이엠텍,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,2,,250W,600W,,1,,1,,3
49,GTX 1080 Ti,,[이엠텍] XENON 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB TONE+ EDITION,\-,이엠텍,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,2,,250W,600W,,1,,1,,3
50,,, ,,,,,,,,,,,,,,,,,,
