,,,메인보드 품목,단가,제조사,소켓,세부 칩셋,폼팩터,길이,폭,DDR,메모리 슬롯,램 클럭 지원,SLI,CF,DVI,D-Sub,HDMI 2.0,HDMI,DP,USB C 3.1,USB C 3.0,USB 3.1,USB 3.0,USB 2.0,"SATA
3","SATA
2",M.2,SATAe,U.2,LAN,WiFi,Bluetooth,색상,RGB Sync
34,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,LGA1151v2,,[MSI] H310M-F PRO,\232000,GIGABYTE,LGA1151v2,H310,ATX,23,18.5,DDR4,2 개,,,,O,,,O,,,,,2,4,4,,1,,,,,,,
36,LGA1151v2,,[MSI] H310I PRO,\276000,GIGABYTE,LGA1151v2,H310,m-ITX,17,17,DDR4,2 개,,,,O,O,,O,,,,,,2,3,4,1,,,,,,,
37,LGA 1151v2,,[MSI] H310M PRO-M2,\90000,MSI,LGA 1151v2,H310,m-ATX,23,18.5,DDR4,2 개,2666Mhz,,,O,O,,O,,,,,2,4,4,,1,,,Intel I219V,,,,
38,LGA 1151v2,,[MSI] H310M PRO-VD,\76000,MSI,LGA 1151v2,H310,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,O,O,,,,,,,2,4,4,,,,,Realtek RTL8111H,,,,
39,LGA 1151v2,,[MSI] H310M PRO-VDH,\81000,MSI,LGA 1151v2,H310,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,O,O,,O,,,,,2,4,4,,,,,Realtek RTL8111H,,,,
40,LGA 1151v2,,[MSI] H310M PRO-VH,\78000,MSI,LGA 1151v2,H310,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,,O,,O,,,,,2,4,4,,,,,Realtek RTL8111H,,,,
41,LGA 1151v2,,[MSI] H310M 게이밍 아틱,\101000,MSI,LGA 1151v2,H310,m-ATX,23,18.5,DDR4,2 개,2666Mhz,,,O,,,O,,,,,2,4,4,,1,,,Intel I219V,,,,
42,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,-- [커피레이크] B360 --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,LGA 1151v2,,[ASRock] B360 PRO4,\124500,ASRock,LGA 1151v2,B360,ATX,30.5,22.4,DDR4,4 개,2666Mhz,,2,O,O,,O,,1,,1,2,2,6,,2,,,Intel I219V,,,,
46,LGA 1151v2,,[ASRock] B360M PRO4,\101600,ASRock,LGA 1151v2,B360,m-ATX,24.4,24.4,DDR4,4 개,2666Mhz,,2,O,O,,O,,1,,1,2,2,6,,2,,,Intel I219V,,,,
47,LGA 1151v2,,[ASRock] B360M-HDV,\83700,ASRock,LGA 1151v2,B360,m-ATX,22.6,18.8,DDR4,2 개,2666Mhz,,,O,O,,O,,,,4,,2,6,,1,,,Intel I219V,,,,
48,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,LGA 1151v2,,[ASUS] PRIME B360-PLUS,\129720,ASUS,LGA 1151v2,B360,ATX,30.5,22.11,DDR4,4 개,2666Mhz,,2,O,O,,O,,,,2,2,4,6,,2,,,Realtek RTL8111H,,,,
50,LGA 1151v2,,[ASUS] PRIME B360M-A,\110700,ASUS,LGA 1151v2,B360,m-ATX,24.4,20.6,DDR4,4 개,2666Mhz,,,O,O,,O,,,1,2,,2,6,,2,,,Realtek RTL8111H,,,,O
51,LGA 1151v2,,[ASUS] PRIME B360M-K,\92920,ASUS,LGA 1151v2,B360,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,O,O,,,,,,2,2,2,6,,1,,,Realtek RTL8111H,,,,
52,LGA 1151v2,,[ASUS] ROG STRIX B360-F GAMING,\149960,ASUS,LGA 1151v2,B360,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,O,,,O,O,1,,2,,4,6,,2,,,Intel I219V,,,,O
53,LGA 1151v2,,[ASUS] ROG STRIX B360-G GAMING,\149960,ASUS,LGA 1151v2,B360,m-ATX,24.4,24.4,DDR4,4 개,2666Mhz,,2,O,,,O,,,,2,2,2,6,,2,,,Intel I219V,,,,O
54,LGA 1151v2,,[ASUS] ROG STRIX B360-H GAMING,\148400,ASUS,LGA 1151v2,B360,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,O,,,O,,,,2,2,2,6,,2,,,Intel I219V,,,,O
55,LGA 1151v2,,[ASUS] ROG STRIX B360-I GAMING,\159000,ASUS,LGA 1151v2,B360,m-ITX,17,17,DDR4,2 개,2666Mhz,,,,,,O,O,,1,2,1,2,4,,2,,,Intel I219V,O,5.0,,O
56,LGA 1151v2,,[ASUS] TUF B360-PLUS GAMING,\131550,ASUS,LGA 1151v2,B360,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,,O,,O,,,,2,2,4,6,,2,,,Intel I219V,,,,O
57,LGA 1151v2,,[ASUS] TUF B360-PRO GAMING (Wi-Fi),\144000,ASUS,LGA 1151v2,B360,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,,O,,O,,,1,2,,4,6,,2,,,Intel I219V,O,5.0,,O
58,LGA 1151v2,,[ASUS] TUF B360-PRO GAMING,\133800,ASUS,LGA 1151v2,B360,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,,O,,O,,,1,2,,4,6,,2,,,Intel I219V,,,,O
59,LGA 1151v2,,[ASUS] TUF B360M-E GAMING,\102000,ASUS,LGA 1151v2,B360,m-ATX,22.6,20.8,DDR4,2 개,2666Mhz,,,O,,,O,,,,2,2,2,6,,1,,,Intel I219V,,,,O
