,,,CPU 품목,가격,제품군,제조사,코어 수,쓰레드 수,동작속도,터보속도,L3캐시,내장 그래픽,GPU속도,"최대 지원
메모리",TDP,소켓,정품,"기본쿨러포함",모델
37,,,-- [Intel] i3 --,,,,,,,,,,,,,,,,
38,,, ,,,,,,,,,,,,,,,,
39,LGA 1150,,[Intel] i3-4130 (하스웰) (벌크 + 쿨러),\120000,Core i3,Intel,2개,4개,3.4 Ghz,지원 안함 ,3MB,HD 4400,1150Mhz,1600Mhz,54W,LGA 1150,X,O,i3-4130
40,LGA 1150,,[Intel] i3-4150 (하스웰 리프레시) (벌크),\123130,Core i3,Intel,2개,4개,3.5 Ghz,지원 안함 ,3MB,HD 4400,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4150
41,LGA 1150,,[Intel] i3-4160 (하스웰 리프레시) (벌크 + 쿨러),\120000,Core i3,Intel,2개,4개,3.6 Ghz,지원 안함 ,3MB,HD 4400,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4160
42,LGA 1150,,[Intel] i3-4170 (하스웰 리프레시) (벌크 + 쿨러),\112560,Core i3,Intel,2개,4개,3.7 Ghz,지원 안함 ,3MB,HD 4400,1150Mhz,1600Mhz,54W,LGA 1150,X,O,i3-4170
43,LGA 1150,,[Intel] i3-4330 (하스웰) (벌크),\154000,Core i3,Intel,2개,4개,3.5 Ghz,지원 안함 ,4MB,HD 4600,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4330
44,LGA 1150,,[Intel] i3-4360 (하스웰 리프레시) (벌크),\200000,Core i3,Intel,2개,4개,3.7 Ghz,지원 안함 ,4MB,HD 4600,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4360
45,LGA 1150,,[Intel] i3-4370 (하스웰 리프레시) (벌크),\207680,Core i3,Intel,2개,4개,3.8 Ghz,지원 안함 ,4MB,HD 4600,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4370
46,0,, ,,,,,,,,,,,,,,,,
47,LGA 1151,,[Intel] i3-6100 (스카이레이크),\124900,Core i3,Intel,2개,4개,3.7 Ghz,지원 안함 ,3MB,HD 530,1050Mhz,2133Mhz,51W,LGA 1151,O,O,i3-6100
48,LGA 1151,,[Intel] i3-6300 (스카이레이크),\191910,Core i3,Intel,2개,4개,3.8 Ghz,지원 안함 ,4MB,HD 530,1150Mhz,2133Mhz,51W,LGA 1151,O,O,i3-6300
49,LGA 1151,,[Intel] i3-6320 (스카이레이크),\187010,Core i3,Intel,2개,4개,3.9 Ghz,지원 안함 ,4MB,HD 530,1150Mhz,2133Mhz,51W,LGA 1151,O,O,i3-6320
50,0,, ,,,,,,,,,,,,,,,,
51,LGA 1151,,[Intel] i3-7100 (카비레이크),\115200,Core i3,Intel,2개,4개,3.9 Ghz,지원 안함 ,3MB,HD 630,1100Mhz,2400Mhz,51W,LGA 1151,O,O,i3-7100
52,LGA 1151,,[Intel] i3-7300 (카비레이크),\162000,Core i3,Intel,2개,4개,4 Ghz,지원 안함 ,4MB,HD 630,1150Mhz,2400Mhz,51W,LGA 1151,O,O,i3-7300
53,LGA 1151,,[Intel] i3-7320 (카비레이크),\165400,Core i3,Intel,2개,4개,4.1 Ghz,지원 안함 ,4MB,HD 630,1150Mhz,2400Mhz,51W,LGA 1151,O,O,i3-7320
54,LGA 1151,,[Intel] i3-7350K (카비레이크),\155700,Core i3,Intel,2개,4개,4.2 Ghz,지원 안함 ,4MB,HD 630,1150Mhz,2400Mhz,60W,LGA 1151,O,X,i3-7350K
