,,,CPU Cooler,가격,제조사,쿨러 종류,권장 케이스 폭,쿨러 높이,팬 커넥터,펌프 커넥터,팬 크기,팬 개수,팬 굵기,베어링,최소 회전속도,최대 회전속도,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,최소 펌프속도,최대 펌프속도,최소 펌프소음,최대 펌프소음,LGA 2066,LGA 1151,LGA 2011-v3,LGA 115x,LGA 2011,TR4,SP3,AM4,AMx/FMx,팬 색깔,(워터블록 색),본체 색깔,LED 색,발광부분,(워터블록 LED),보증 기간
95,일반형 공랭,,[NOCTUA] NH-L12 + NM-AM4 킷,\91000,NOCTUA,일반형 공랭,135mm,93mm,4핀,,120mm,2개,25T,SSO2,1200rpm,1500rpm,43.73CFM,54.97CFM,,,18.6dBA,22.4dBA,,,,,,O,O,O,O,,,,O,갈색,,살색,,,,
96,일반형 공랭,,[NOCTUA] NH-L12S,\79700,NOCTUA,일반형 공랭,90mm,70mm,4핀,,120mm,1개,15T,SSO2,1400rpm,1850rpm,41.67CFM,55.44CFM,,,16.8dBA,23.9dBA,,,,,O,O,O,O,O,,,O,O,갈색,,살색,,,,
97,일반형 공랭,,[NOCTUA] NH-C14S + NM-AM4 킷,\115900,NOCTUA,일반형 공랭,,115mm,4핀,,140mm,1개,25T,SSO2,1200rpm,1500rpm,67.97CFM,82.51CFM,1.51mmH2O,2.08mmH2O,19.2dBA,24.6dBA,,,,,,O,O,O,O,,,,O,갈색,,살색,,,,
98,일반형 공랭,, ,,,일반형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,일반형 공랭,,[쿨러마스터] MASTERAIR G100M UFO RGB 컨트롤러,\63720,쿨러마스터,일반형 공랭,90mm,74.5mm,4핀,,100mm,1개,25T,,600rpm,2400rpm,,22.63CFM,,1.6mmH2O,,30dBA,,,,,O,O,O,O,O,,,O,O,투명,,검정,RGB (MB/Cont), 팬,,2년
100,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,== 수랭 쿨러 ==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,-- 3열 수랭 쿨러 --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,3열 수랭,,[Antec] MERCURY 360 NEWRUN,\162000,Antec,3열 수랭,,,4핀,3핀,120mm,3개,25T,,900rpm,1800rpm,,73.31CFM,,2.25mmH2O,20dBA,30dBA,,,,26dBA,O,O,O,O,O,,,O,O,투명,흰색,검흰,파랑,링,파랑/녹색/빨강,5년
106,3열 수랭,, ,,,3열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,3열 수랭,,[ARCTIC] Liquid Freezer 360,\196000,ARCTIC,3열 수랭,,,4핀,3핀,120mm,6개,25T,FDB,500rpm,1350rpm,,74CFM,,,,24.5dBA,,,,,O,O,O,O,O,O,,O,O,흰색,,검정,,,,2년
108,3열 수랭,, ,,,3열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,3열 수랭,,[CORSAIR] H115i PRO RGB,\-,CORSAIR,3열 수랭,,,4핀,3핀,140mm,2개,25T,Magnetic,,1200rpm,,55.4CFM,,1.27mmH2O,,20.4dBA,,,,,O,O,O,O,O,,,O,O,흰색,검정,검정,,,RGB (SW),5년
110,3열 수랭,, ,,,3열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,3열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 360EX RGB WHITE BRAVOTEC,\173020,DEEPCOOL,3열 수랭,,,4핀,3핀,120mm,3개,25T,Hydro,500rpm,1800rpm,,229.56CFM,,3.31mmH2O,17.6dBA,31.3dBA,,2300rpm,,,O,O,O,O,O,,,O,O,검정,,흰색,,,RGB (MB),3년
112,3열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 360EX RGB BRAVOTEC,\183000,DEEPCOOL,3열 수랭,,,4핀,3핀,120mm,3개,25T,Hydro,500rpm,1800rpm,,229.56CFM,,3.31mmH2O,17.6dBA,31.3dBA,,2300rpm,,,O,O,O,O,O,,,O,O,검정,,검정,,,빨강,3년
113,3열 수랭,, ,,,3열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,3열 수랭,,[Fractal Design] Celsius S36,\-,Fractal Design,3열 수랭,,,4핀,4핀,120mm,3개,25T,LLS,500rpm,2000rpm,,87.6CFM,,2.3mmH2O,,32.2dBA,1950rpm,3150rpm,,20dBA,,O,O,O,O,,,O,O,흰색,검정,검정,,,,5년
115,3열 수랭,, ,,,3열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,3열 수랭,,[써멀테이크] 플로우 링 RGB 360 TT 프리미엄 에디션,\-,써멀테이크,3열 수랭,,,5핀,3핀,120mm,3개,25T,Hydraulic,500rpm,1400rpm,14.2CFM,42.34CFM,0.17mmH2O,1.54mmH2O,19.8dBA,24.7dBA,,3600rpm,,,O,O,O,O,O,,,O,O,검정,,검정,RGB (SW),팬/링,RGB (SW),
117,3열 수랭,,[써멀테이크] Water 3.0 Riing RGB 360 아스크텍,\232000,써멀테이크,3열 수랭,,,5핀,3핀,120mm,3개,25T,Hydraulic,800rpm,1500rpm,22.14CFM,40.6CFM,0.57mmH2O,2.01mmH2O,18.5dBA,26.4dBA,,,,,O,O,O,O,O,,,O,O,검정,,검정,256C (Cont),링,,
118,3열 수랭,,[써멀테이크] Water 3.0 Ultimate 아스크텍,\157590,써멀테이크,3열 수랭,,,4핀,3핀,120mm,3개,25T,Hydraulic,1000rpm,2000rpm,,99CFM,,,,20dBA,,2900rpm,,,O,O,O,O,O,,,O,O,흰색,,검정,,,,
119,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,-- 2열 수랭 쿨러 --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2열 수랭,,[Antec] MERCURY 240 NEWRUN,\124720,Antec,2열 수랭,,,4핀,3핀,120mm,2개,25T,,900rpm,1800rpm,,73.31CFM,,2.25mmH2O,20dBA,30dBA,,,,26dBA,O,O,O,O,O,,,O,O,투명,흰색,검흰,파랑,링,파랑/녹색/빨강,5년
123,2열 수랭,,[Antec] Kuhler H2O H1200 PRO,\109000,Antec,2열 수랭,,,4핀,3핀,120mm,2개,25T,,600rpm,1800rpm,,78.9CFM,,2.19mmH2O,16dBA,35dBA,,,,,,O,O,O,O,,,,O,투명,검정,검정,파랑,팬,파랑/녹색/빨강,
124,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2열 수랭,,[ARCTIC] Liquid Freezer 240,\147730,ARCTIC,2열 수랭,,,4핀,3핀,120mm,4개,25T,FDB,500rpm,1350rpm,,74CFM,,,,24.5dBA,,,,,O,O,O,O,O,O,,O,O,흰색,,검정,,,,2년
126,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2열 수랭,,[be quiet] SILENT LOOP 280mm,\234000,be quiet,2열 수랭,,,4핀,3핀,140mm,2개,25T,Rifle,,1600rpm,,94.2CFM,,1.82mmH2O,,37.3dBA,,,,,,O,O,O,O,,,O,O,검정,검정,검정,,,,3년
128,2열 수랭,,[be quiet] SILENT LOOP 240mm,\214000,be quiet,2열 수랭,,,4핀,3핀,120mm,2개,25T,Rifle,,2000rpm,,65.51CFM,,2.23mmH2O,,36.9dBA,,,,,,O,O,O,O,,,O,O,검정,검정,검정,,,,3년
129,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2열 수랭,,[COLORFUL] LUNA 240,\64900,COLORFUL,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,800rpm,1600rpm,,48.5CFM,,,,30.5dBA,,2800rpm,,25dBA,O,O,O,O,O,,,O,O,투명,검정,검정,파랑,링,파랑,3년
131,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2열 수랭,,[CORSAIR] H150i PRO RGB,\-,CORSAIR,2열 수랭,,,4핀,3핀,120mm,3개,25T,Magnetic,,1600rpm,,47.3CFM,,1.78mmH2O,,25dBA,,,,,O,O,O,O,O,,,O,O,흰색,검정,검정,,,RGB (SW),5년
133,2열 수랭,,[CORSAIR] HYDRO SERIES H115i v2,\191000,CORSAIR,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,,2435rpm,,70.69CFM,,4.65mmH2O,,37.7dBA,,,,,,O,O,O,O,,,,O,검정,,검정,,,RGB (SW),5년
134,2열 수랭,,[CORSAIR] HYDRO SEIRES H115i,\206850,CORSAIR,2열 수랭,,,4핀,3핀,140mm,2개,25T,Hydraulic,,2000rpm,,104.65CFM,,3.42mmH2O,,45dBA,,,,,,O,O,O,O,,,,O,검정,,검정,,,RGB (SW),5년
135,2열 수랭,,[CORSAIR] HYDRO SERIES H110i,\235000,CORSAIR,2열 수랭,,,4핀,3핀,140mm,2개,25T,Hydraulic,,2100rpm,,113CFM,,3.99mmH2O,,43dBA,,,,,,O,O,O,O,,,,O,검정,,검정,,,RGB (SW),5년
136,2열 수랭,,[CORSAIR] HYDRO SERIES H110i GT,\-,CORSAIR,2열 수랭,,,4핀,3핀,140mm,2개,25T,Hydraulic,,2100rpm,,113CFM,,3.99mmH2O,,43dBA,,,,,,,O,O,O,,,,O,검정,,검정,,,RGB (SW),5년
137,2열 수랭,,[CORSAIR] HYDRO SERIES H110i GTX,\-,CORSAIR,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,,2435rpm,,70.69CFM,,4.65mmH2O,,37.7dBA,,,,,,,O,O,O,,,,O,검정,,검정,,,RGB (SW),5년
138,2열 수랭,,[CORSAIR] HYDRO SERIES H105,\205200,CORSAIR,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,800rpm,2700rpm,,73CFM,,3.9mmH2O,,37.7dBA,,,,,,,,O,O,,,,O,검정,,검정,,,,5년
139,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2열 수랭,,[CRYORIG] A80,\183290,CRYORIG,2열 수랭,,,4핀,,140mm,3개,25T,HPLN,600rpm,1850rpm,,128CFM,,2.12mmH2O,13dBA,38dBA,,,,,,O,O,O,O,,,,O,흰색,,검정,,,,3년
141,2열 수랭,,[CRYORIG] A40 ULTIMATE,\170000,CRYORIG,2열 수랭,,,4핀,,120mm,3개,25T,HPLN,600rpm,2200rpm,,83CFM,,3.33mmH2O,13dBA,37dBA,,,,,,O,O,O,O,,,,O,흰색,,검정,,,,3년
142,2열 수랭,,[CRYORIG] A49,\156000,CRYORIG,2열 수랭,,,4핀,,120mm,3개,25T,HPLN,600rpm,2200rpm,,83CFM,,3.33mmH2O,13dBA,37dBA,,,,,,O,O,O,O,,,,O,흰색,,검정,,,,3년
143,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 240EX RGB WHITE BRAVOTEC,\135200,DEEPCOOL,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydro,500rpm,1800rpm,,153.04CFM,,3.31mmH2O,17.6dBA,31.3dBA,,2100rpm,,,O,O,O,O,O,,,O,O,검정,,흰색,,,RGB (MB),3년
145,2열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 240EX RGB BRAVOTEC,\125990,DEEPCOOL,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydro,500rpm,1800rpm,,153.04CFM,,3.31mmH2O,17.6dBA,31.3dBA,,2100rpm,,,O,O,O,O,O,,,O,O,검정,,검정,,,RGB (MB),3년
146,2열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 240EX WHITE BRAVOTEC,\145000,DEEPCOOL,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydro,500rpm,1800rpm,,153.04CFM,,3.31mmH2O,17.6dBA,31.3dBA,,2200rpm,,,O,O,O,O,O,,,O,O,검정,,흰색,,,흰색,3년
147,2열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 240EX BRAVOTEC,\103900,DEEPCOOL,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydro,500rpm,1800rpm,,153.04CFM,,3.31mmH2O,17.6dBA,31.3dBA,,2200rpm,,,O,O,O,O,O,,,O,O,검정,,검정,,,빨강,3년
148,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2열 수랭,,[EVGA] CLC 280 Liquid,\199000,EVGA,2열 수랭,,,4핀,9핀,140mm,2개,25T,Teflon Nano,600rpm,2200rpm,,113.5CFM,,4.2mmH2O,16dBA,39.5dBA,,,,20dBA,O,O,O,O,O,,,O,O,검정,검정,검정,,,RGB (SW),5년
150,2열 수랭,,[EVGA] CLC 240 Liquid,\169000,EVGA,2열 수랭,,,4핀,9핀,120mm,2개,25T,Teflon Nano,500rpm,2400rpm,,74.82CFM,,4.04mmH2O,16dBA,39.9dBA,,,,20dBA,O,O,O,O,O,,,O,O,검정,검정,검정,,,RGB (SW),5년
151,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2열 수랭,,[Fractal Design] Celsius S24,\175000,Fractal Design,2열 수랭,,,4핀,4핀,120mm,2개,25T,LLS,500rpm,2000rpm,,87.6CFM,,2.3mmH2O,,32.2dBA,1950rpm,3150rpm,,20dBA,,O,O,O,O,,,O,O,흰색,검정,검정,,,,5년
153,2열 수랭,,[Fractal Design] Kelvin S24,\139180,Fractal Design,2열 수랭,,,4핀,4핀,120mm,2개,25T,LLS,500rpm,2000rpm,,87.6CFM,,2.3mmH2O,,32.2dBA,,2400rpm,,25dBA,,O,O,O,O,,,,O,흰색,검정,검정,,,,5년
154,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2열 수랭,,[ID-COOLING] DASHFLOW 240 RGB,\174500,ID-COOLING,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,900rpm,2000rpm,,51.5CFM,,,16dBA,31.5dBA,,2400rpm,,25dBA,O,O,O,O,O,,,O,O,흰색,검정,검정,RGB (MB/Cont),팬,RGB (MB/Cont),
156,2열 수랭,,[ID-COOLING] AURAFLOW 240 RGB SNOW,\150230,ID-COOLING,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,700rpm,1800rpm,,74.5CFM,,,18dBA,35.2dBA,,2300rpm,,25dBA,,O,O,O,O,,,O,O,흰색,흰색,흰색,RGB (MB),팬,RGB (MB),
157,2열 수랭,,[ID-COOLING] FROSTFLOW PLUS 240 SNOW,\124000,ID-COOLING,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,700rpm,1800rpm,,74.5CFM,,2.15mmH2O,18dBA,35.2dBA,,2300rpm,,25dBA,,O,O,O,O,,,O,O,흰색,흰색,흰색,흰색,팬,흰색,
158,2열 수랭,,[ID-COOLING] FROSTFLOW PLUS 280 3RSYS,\112200,ID-COOLING,2열 수랭,,,4핀,3핀,140mm,2개,25T,Hydraulic,800rpm,1600rpm,,76.8CFM,,2.14mmH2O,16.8dBA,32.6dBA,,2300rpm,,25dBA,,O,O,O,O,,,O,O,흰색,검정,검정,,,흰색,
159,2열 수랭,,[ID-COOLING] FROSTFLOW PLUS 240 WHITE LED 3RSYS,\90700,ID-COOLING,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,700rpm,1800rpm,,74.5CFM,,2.15mmH2O,18dBA,35.2dBA,,2300rpm,,25dBA,,O,O,O,O,,,O,O,흰색,검정,검정,흰색,팬,흰색,
160,2열 수랭,,[ID-COOLING] AURAFLOW 240 RGB BLACK 3RSYS,\149200,ID-COOLING,2열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,700rpm,1800rpm,,74.5CFM,,2.15mmH2O,18dBA,35.2dBA,,2100rpm,,25dBA,,O,O,O,O,,,O,O,투명,검정,검정,RGB (MB),팬,RGB (MB),
161,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2열 수랭,,[NZXT] KRAKEN X62 BRAVOTEC,\222000,NZXT,2열 수랭,,,4핀,9핀,140mm,2개,26T,FDB,500rpm,1800rpm,27.27CFM,98.17CFM,0.21mmH2O,2.71mmH2O,21dBA,38dBA,1000rpm,2800rpm,,,O,O,O,O,O,O,,O,O,검정,검정,검정,,,RGB (SW),6년
163,2열 수랭,,[NZXT] KRAKEN X52,\211000,NZXT,2열 수랭,,,4핀,9핀,120mm,2개,26T,FDB,500rpm,2000rpm,18.28CFM,73.11CFM,0.18mmH2O,2.93mmH2O,21dBA,36dBA,1000rpm,2800rpm,,,O,O,O,O,O,O,,O,O,검정,검정,검정,,,RGB (SW),6년
164,2열 수랭,,[NZXT] KRAKEN X61,\174500,NZXT,2열 수랭,,,4핀,9핀,140mm,2개,25T,Nano,800rpm,2000rpm,42.4CFM,106.1CFM,0.36mmH2O,1.97mmH2O,20dBA,37dBA,2400rpm,3600rpm,,,,,,O,O,,,,O,흰색,검정,검정,,,RGB (SW),6년
165,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2열 수랭,,[써멀테이크] 플로우 링 RGB 240 TT 프리미엄 에디션,\211810,써멀테이크,2열 수랭,,,5핀,3핀,120mm,2개,25T,Hydraulic,500rpm,1400rpm,14.2CFM,42.34CFM,0.17mmH2O,1.54mmH2O,19.8dBA,24.7dBA,,3600rpm,,,O,O,O,O,O,,,O,O,검정,,검정,RGB (SW),팬/링,RGB (SW),
167,2열 수랭,,[써멀테이크] Water 3.0 Riing RGB 240 아스크텍,\170600,써멀테이크,2열 수랭,,,5핀,3핀,120mm,2개,25T,Hydraulic,800rpm,1500rpm,22.14CFM,40.6CFM,0.57mmH2O,2.01mmH2O,18.5dBA,26.4dBA,,,,,O,O,O,O,O,,,O,O,검정,,검정,256C (Cont),링,,
168,2열 수랭,,[써멀테이크] Water 3.0 Extreme S 아스크텍,\131000,써멀테이크,2열 수랭,,,4핀,3핀,120mm,2개,25T,,1000rpm,2000rpm,,99CFM,,,,20dBA,,2900rpm,,,,,,O,O,,,,O,흰색,검정,검정,,,,
169,2열 수랭,, ,,,2열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2열 수랭,,[쿨러마스터] MASTERLIQUID ML240L RGB,\144080,쿨러마스터,2열 수랭,,,4핀,3핀,120mm,2개,25T,,650rpm,2000rpm,,66.7CFM,,2.34mmH2O,6dBA,30dBA,,,,15dBA,O,O,O,O,O,,,O,O,투명,,검정,RGB (MB),팬,RGB (MB),3년
171,2열 수랭,,[쿨러마스터] MASTERLIQUID PRO 240,\113780,쿨러마스터,2열 수랭,,,4핀,4핀,120mm,2개,25T,,650rpm,2000rpm,,66.7CFM,,2.34mmH2O,6dBA,30dBA,,,,12dBA,O,O,O,O,O,,,O,O,검정,,검정,,,파랑,
172,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,-- 1열 수랭 쿨러 --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1열 수랭,,[Antec] MERCURY 120 NEWRUN,\79400,Antec,1열 수랭,,,4핀,3핀,120mm,1개,25T,,900rpm,1800rpm,,73.31CFM,,2.25mmH2O,20dBA,30dBA,,,,26dBA,O,O,O,O,O,,,O,O,투명,흰색,검흰,파랑,링,파랑/녹색/빨강,5년
176,1열 수랭,,[Antec] Kuhler H2O H600 PRO,\68640,Antec,1열 수랭,,,4핀,3핀,120mm,1개,25T,,600rpm,1800rpm,,78.9CFM,,2.19mmH2O,16dBA,35dBA,,,,,,O,O,O,O,,,,O,투명,검정,검정,파랑,팬,파랑/녹색/빨강,
177,1열 수랭,, ,,,1열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1열 수랭,,[ARCTIC] Liquid Freezer 120,\121800,ARCTIC,1열 수랭,,,4핀,3핀,120mm,2개,25T,FDB,500rpm,1350rpm,,74CFM,,,,24.5dBA,,,,,O,O,O,O,O,O,,O,O,흰색,,검정,,,,2년
179,1열 수랭,, ,,,1열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1열 수랭,,[be quiet] SILENT LOOP 120mm,\180000,be quiet,1열 수랭,,,4핀,3핀,120mm,1개,25T,Rifle,,2000rpm,,65.51CFM,,2.23mmH2O,,36.9dBA,,,,,,O,O,O,O,,,O,O,검정,검정,검정,,,,3년
181,1열 수랭,, ,,,1열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1열 수랭,,[COLORFUL] LUNA 120,\54000,COLORFUL,1열 수랭,,,4핀,3핀,120mm,1개,25T,Hydraulic,800rpm,1600rpm,,48.5CFM,,,,30.5dBA,,2800rpm,,25dBA,O,O,O,O,O,,,O,O,투명,검정,검정,파랑,링,파랑,3년
183,1열 수랭,, ,,,1열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1열 수랭,,[CORSAIR] HYDRO SERIES H80i v2,\145750,CORSAIR,1열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,,2435rpm,,70.69CFM,,4.65mmH2O,,37.7dBA,,,,,,O,O,O,O,,,,O,검정,,검정,,,RGB (SW),5년
185,1열 수랭,,[CORSAIR] HYDRO SERIES H80i GT,\150000,CORSAIR,1열 수랭,,,4핀,3핀,120mm,2개,25T,Hydraulic,,2435rpm,,70.69CFM,,4.65mmH2O,,37.7dBA,,,,,,,O,O,O,,,,O,검정,,검정,,,RGB (SW),5년
186,1열 수랭,, ,,,1열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 120EX RGB BRAVOTEC,\91520,DEEPCOOL,1열 수랭,,,4핀,3핀,120mm,1개,25T,Hydro,500rpm,1800rpm,,76.52CFM,,3.31mmH2O,17.6dBA,31.3dBA,,2100rpm,,,O,O,O,O,O,,,O,O,검정,,검정,,,RGB (MB),3년
188,1열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 120EX WHITE BRAVOTEC,\78840,DEEPCOOL,1열 수랭,,,4핀,3핀,120mm,1개,25T,Hydro,500rpm,1800rpm,,76.52CFM,,3.31mmH2O,17.6dBA,31.3dBA,,2200rpm,,,O,O,O,O,O,,,O,O,검정,,흰색,,,흰색,3년
189,1열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 120EX BRAVOTEC,\78900,DEEPCOOL,1열 수랭,,,4핀,3핀,120mm,1개,25T,Hydro,500rpm,1800rpm,,76.52CFM,,3.31mmH2O,17.6dBA,31.3dBA,,2200rpm,,,O,O,O,O,O,,,O,O,검정,,검정,,,빨강,3년
190,1열 수랭,,[DEEPCOOL] GAMER STORM CAPTAIN 120 WHITE BRAVOTEC,\97000,DEEPCOOL,1열 수랭,,,4핀,3핀,120mm,1개,25T,FDB,600rpm,2200rpm,,91.12CFM,,3.71mmH2O,17.6dBA,39.3dBA,,,,,O,O,O,O,O,,,,O,흰색,,흰색,,,흰색,3년
191,1열 수랭,, ,,,1열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1열 수랭,,[EVGA] CLC 120 Liquid,\130000,EVGA,1열 수랭,,,4핀,9핀,120mm,1개,25T,Teflon Nano,500rpm,2400rpm,,74.82CFM,,4.04mmH2O,16dBA,39.9dBA,,,,20dBA,O,O,O,O,O,,,O,O,검정,검정,검정,,,RGB (SW),5년
193,1열 수랭,, ,,,1열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1열 수랭,,[ID-COOLING] FROSTFLOW PLUS 120 SNOW,\79700,ID-COOLING,1열 수랭,,,4핀,3핀,120mm,1개,25T,Hydraulic,700rpm,1500rpm,,62CFM,,1.78mmH2O,18dBA,26.4dBA,,2300rpm,,25dBA,,O,O,O,O,,,O,O,흰색,흰색,흰색,흰색,팬,흰색,
195,1열 수랭,,[ID-COOLING] FROSTFLOW PLUS 120 3RSYS,\55000,ID-COOLING,1열 수랭,,,4핀,3핀,120mm,1개,25T,Hydraulic,700rpm,1800rpm,,74.5CFM,,2.15mmH2O,18dBA,35.2dBA,,2300rpm,,25dBA,,O,O,O,O,,,O,O,흰색,검정,검정,,,흰색,
196,1열 수랭,, ,,,1열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1열 수랭,,[써멀테이크] Water 3.0 Performer C 아스크텍,\66000,써멀테이크,1열 수랭,,,4핀,3핀,120mm,1개,25T,Hydraulic,1200rpm,2000rpm,,81.32CFM,,,,27.36dBA,,2900rpm,,,O,O,O,O,O,,,O,O,흰색,,검정,,,,
198,1열 수랭,, ,,,1열 수랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1열 수랭,,[쿨러마스터] MASTERLIQUID ML120L RGB,\94000,쿨러마스터,1열 수랭,,,4핀,3핀,120mm,1개,25T,,650rpm,2000rpm,,66.7CFM,,2.34mmH2O,6dBA,30dBA,,,,15dBA,O,O,O,O,O,,,O,O,투명,,검정,RGB (MB),팬,RGB (MB),3년
200,1열 수랭,,[쿨러마스터] MASTERLIQUID PRO 120,\93880,쿨러마스터,1열 수랭,,,4핀,4핀,120mm,1개,25T,,650rpm,2000rpm,,66.7CFM,,2.34mmH2O,6dBA,30dBA,,,,12dBA,O,O,O,O,O,,,O,O,검정,,검정,,,파랑,
201,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
