,,,CPU Cooler,가격,제조사,쿨러 종류,권장 케이스 폭,쿨러 높이,팬 커넥터,펌프 커넥터,팬 크기,팬 개수,팬 굵기,베어링,최소 회전속도,최대 회전속도,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,최소 펌프속도,최대 펌프속도,최소 펌프소음,최대 펌프소음,LGA 2066,LGA 1151,LGA 2011-v3,LGA 115x,LGA 2011,TR4,SP3,AM4,AMx/FMx,팬 색깔,(워터블록 색),본체 색깔,LED 색,발광부분,(워터블록 LED),보증 기간
28,타워형 공랭,,[CRYORIG] H7 라이젠,\54030,CRYORIG,타워형 공랭,,145mm,4핀,,120mm,1개,25T,HPLN,330rpm,1600rpm,,49CFM,,1.65mmH2O,10dBA,25dBA,,,,,,O,,O,,,,O,O,흰색,,검정,,,,3년
29,타워형 공랭,,[CRYORIG] R1 UNIVERSAL SE 라이젠,\114000,CRYORIG,타워형 공랭,180mm,168.3mm,4핀,,140mm,2개,25T,HPLN,700rpm,1300rpm,,76CFM,,,19dBA,23dBA,,,,,,,,,,,,O,O,검정,,검흰,,,,3년
30,타워형 공랭,,[CRYORIG] H7 QUAD LUMI,\89000,CRYORIG,타워형 공랭,150mm,145mm,4핀,,120mm,1개,25T,HPLN,300rpm,1600rpm,,49CFM,,1.65mmH2O,10dBA,25dBA,,,,,,O,O,O,O,,,O,O,투명,,검정,흰색/RGB(SW),팬/본체,,3년
31,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,타워형 공랭,,[DEEPCOOL] GAMMAXX 300R LED BRAVOTEC,\24500,DEEPCOOL,타워형 공랭,150mm,135.5mm,4핀,,120mm,1개,25T,Hydro,900rpm,1600rpm,,40CFM,,,17.8dBA,21dBA,,,,,O,O,O,O,O,,,O,O,투명,,은색,빨강,팬,,1년
33,타워형 공랭,,[DEEPCOOL] GAMMAXX GT RGB 아우라 싱크 BRAVOTEC,\58000,DEEPCOOL,타워형 공랭,180mm,156mm,4핀,,120mm,1개,25T,Hydro,500rpm,1500rpm,,56.5CFM,,,17.8dBA,27dBA,,,,,O,O,O,O,O,,,O,O,투명,,은색,RGB (MB),팬,,1년
34,타워형 공랭,,[DEEPCOOL] NEPTWIN LED SNOW WHITE BRAVOTEC,\72700,DEEPCOOL,타워형 공랭,,159mm,4핀,,120mm,2개,26T,Hydro,900rpm,1500rpm,,139.5CFM,,,17.8dBA,30dBA,,,,,O,O,O,O,O,,,O,O,투명,,흰색,흰색,팬,,1년
35,타워형 공랭,,[DEEPCOOL] GAMMAXX 400 SNOW WHITE For Intel BRAVOTEC,\38000,DEEPCOOL,타워형 공랭,,154.5mm,4핀,,120mm,1개,25T,Hydro,900rpm,1500rpm,,74.34CFM,,,17.8dBA,30dBA,,,,,O,O,O,O,O,,,O,O,투명,,흰색,흰색,팬,,1년
36,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,타워형 공랭,,[GIGABYTE] AORUS ATC700 RGB FUSION,\90000,GIGABYTE,타워형 공랭,180mm,170mm,4핀,,120mm,2개,25T,유체,500rpm,1800rpm,19.79CFM,71.27CFM,0.16mmH2O,2.09mmH2O,17.2dBA,33.6dBA,,,,,,O,O,O,O,,,O,O,검정,,검정,RGB (MB/SW),본체,,
38,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,타워형 공랭,,[ID-COOLING] SE-214-RGB,\38890,ID-COOLING,타워형 공랭,,,4핀,,130mm,1개,25T,Hydraulic,500rpm,1800rpm,,69.5CFM,,1.82mmH2O,12.1dBA,24.2dBA,,,,,O,O,,O,O,,,O,O,흰색,,검정,RGB (MB/Cont),팬,,
40,타워형 공랭,,[ID-COOLING] SE-214M-WHITE,\28280,ID-COOLING,타워형 공랭,,,4핀,,120mm,1개,25T,,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,,,,,,O,,O,,,,O,O,검정,,은색,흰색,링,,
41,타워형 공랭,,[ID-COOLING] SE-214M-RED,\28280,ID-COOLING,타워형 공랭,,,4핀,,120mm,1개,25T,,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,,,,,,O,,O,,,,O,O,검정,,은색,빨강,링,,
42,타워형 공랭,,[ID-COOLING] SE-214M-BLUE,\28280,ID-COOLING,타워형 공랭,,,4핀,,120mm,1개,25T,,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,,,,,,O,,O,,,,O,O,검정,,은색,파랑,링,,
