,41,450,380,5,512,220000,[인텔] 545s 512GB,3D MLC,마벨 88NV1120,인텔,,O,,,,,7mm,
,42,450,380,5,240,179250,[인텔] DC S3520 Series 240GB,3D MLC,마벨 88NV1120,인텔,,O,,,,,7mm,
,43,450,380,5,1200,859170,[인텔] DC S3520 Series 1.2TB,3D MLC,마벨 88NV1120,인텔,,O,,,,,7mm,
,44,450,380,5,480,360190,[인텔] DC S3520 Series 480GB,3D MLC,마벨 88NV1120,인텔,,O,,,,,7mm,
,45,480,270,3,800,700000,[인텔] DC S3510 800GB,3D MLC,마벨 88NV1120,인텔,O,,O,O,O,O,7mm,
,46,560,460,3,128,51300,[타무즈] RX550 128GB,3D TLC,실리콘모션 SM2258,타무즈,O,O,O,O,O,O,7mm,
,47,535,405,3,120,61200,[타무즈] M530 M.2 2280 120GB,TLC,마벨 88NV1120,타무즈,O,,O,O,,,7mm,
,48,520,470,3,120,59770,[타무즈] RX470 120GB,TLC,실리콘모션 SM2256,타무즈,,O,,,,O,7mm,
,49,530,400,3,120,48900,[타무즈] RX460 120GB,TLC,마벨 88NV1120,타무즈,O,,O,O,,O,7mm,
,50,230,50,3,32,29750,[타무즈] RX630 32GB,MLC,실리콘모션 2246,타무즈,O,,,,,,7mm,
,51,230,50,3,128,62110,[타무즈] RX630 128GB,MLC,실리콘모션 2246,타무즈,O,,,,,,7mm,
,52,550,170,3,128,68710,[타무즈] MX370 mSATA 128GB,MLC,실리콘모션 SM2246EN,타무즈,O,,,,,,7mm,
,53,550,170,3,256,106220,[타무즈] MX370 mSATA 256GB,MLC,실리콘모션 SM2246EN,타무즈,O,,,,,,7mm,
,54,550,170,3,128,67180,[타무즈] M520 M.2 2280 128GB,MLC,실리콘모션 SM2246EN,타무즈,O,,,,,,3mm,
,55,550,170,3,256,128000,[타무즈] M520 M.2 2280 256GB,MLC,실리콘모션 SM2246EN,타무즈,O,,,,,,3mm,
