,40,LGA 1151v2,144000,4,2666,4,6,2,O,ATX,[ASUS] TUF B360-PRO GAMING (Wi-Fi),ASUS,B360,30.5,24.4,0,
,41,LGA 1151v2,133800,4,2666,4,6,2,,ATX,[ASUS] TUF B360-PRO GAMING,ASUS,B360,30.5,24.4,0,
,42,LGA 1151v2,102000,2,2666,4,6,1,,m-ATX,[ASUS] TUF B360M-E GAMING,ASUS,B360,22.6,20.8,0,
,43,LGA 1151v2,119000,4,2666,4,6,2,,m-ATX,[ASUS] TUF B360M-PLUS GAMING,ASUS,B360,24.4,23.1,0,
,44,LGA 1151v2,80200,2,2666,4,4,0,,m-ATX,[BIOSTAR] B360MHD PRO,BIOSTAR,B360,22.8,17.7,0,
,45,LGA 1151v2,106000,4,2666,4,6,2,,m-ATX,[BIOSTAR] RACING B360 GT3S,BIOSTAR,B360,24.4,23,0,
,46,LGA 1151v2,144300,4,2666,4,6,2,O,ATX,[GIGABYTE] B360 AORUS Gaming 3 WiFi,GIGABYTE,B360,30.5,22.5,0,
,47,LGA 1151v2,136800,4,2666,4,6,2,,ATX,[GIGABYTE] B360 AORUS Gaming 3,GIGABYTE,B360,30.5,22.5,0,
,48,LGA 1151v2,117000,4,2666,4,6,2,,ATX,[GIGABYTE] B360 HD3 듀러블에디션,GIGABYTE,B360,30.5,22.5,0,
,49,LGA 1151v2,123000,4,2666,4,6,2,,ATX,[GIGABYTE] B360 HD3P 듀러블에디션,GIGABYTE,B360,30.5,24.4,0,
,50,LGA 1151v2,123000,4,2666,4,6,2,,m-ATX,[GIGABYTE] B360M AORUS Gaming 3,GIGABYTE,B360,24.4,23,0,
,51,LGA 1151v2,93940,2,2666,4,6,1,,m-ATX,[GIGABYTE] B360M D2V 듀러블에디션,GIGABYTE,B360,22.6,18.5,0,
,52,LGA 1151v2,106000,4,2666,4,6,1,,m-ATX,[GIGABYTE] B360M D3H 듀러블에디션,GIGABYTE,B360,24.4,23,0,
,53,LGA 1151v2,94800,2,2666,4,6,1,,m-ATX,[GIGABYTE] B360M D3V 듀러블에디션,GIGABYTE,B360,24.4,18.5,0,
,54,LGA 1151v2,95400,4,2666,4,6,1,,m-ATX,[GIGABYTE] B360M DS3H 듀러블에디션,GIGABYTE,B360,22.6,20.5,0,
,55,LGA 1151v2,90000,2,2666,4,4,1,,m-ATX,[GIGABYTE] B360M H 듀러블에디션,GIGABYTE,B360,22.6,18.5,0,
,56,LGA 1151v2,93950,2,2666,4,6,1,,m-ATX,[GIGABYTE] B360M HD3 듀러블에디션,GIGABYTE,B360,24.4,18.5,0,
,57,LGA 1151v2,140400,2,2666,4,4,1,O,m-ITX,[GIGABYTE] B360N WiFi 듀러블에디션,GIGABYTE,B360,17,17,0,
,58,LGA 1151v2,131000,4,2666,4,5,1,,ATX,[MSI] B360 게이밍 아틱,MSI,B360,30.5,24.4,0,
,59,LGA 1151v2,149000,4,2666,4,6,2,,ATX,[MSI] B360 게이밍 프로 카본,MSI,B360,30.4,24.3,0,
,60,LGA 1151v2,131000,4,2666,4,5,1,,ATX,[MSI] B360 게이밍 플러스,MSI,B360,30.4,24.3,0,
,61,LGA 1151v2,120000,4,2666,4,5,1,,ATX,[MSI] B360-A PRO,MSI,B360,30.4,24.3,0,
,62,LGA 1151v2,254000,2,2666,4,4,0,,ATX,[MSI] B360-F PRO,MSI,B360,30.5,22.5,0,
,63,LGA 1151v2,148000,4,2666,4,4,2,O,m-ITX,[MSI] B360I 게이밍 프로 AC,MSI,B360,17,17,0,
,64,LGA 1151v2,86000,2,2666,4,6,1,,m-ATX,[MSI] B360M PRO-VD,MSI,B360,22.6,18.5,0,
,65,LGA 1151v2,91000,4,2666,4,6,1,,m-ATX,[MSI] B360M PRO-VDH,MSI,B360,24.4,24.4,0,
,66,LGA 1151v2,88000,2,2666,4,6,1,,m-ATX,[MSI] B360M PRO-VH,MSI,B360,22.6,18.5,0,
,67,LGA 1151v2,102010,2,2666,4,6,1,,m-ATX,[MSI] B360M 게이밍 플러스,MSI,B360,24.3,20.6,0,
,68,LGA 1151v2,103100,4,2666,4,6,1,,m-ATX,[MSI] B360M 바주카 플러스,MSI,B360,24.4,24.4,0,
,69,LGA 1151v2,118000,4,2666,4,4,2,,m-ATX,[MSI] B360M 박격포,MSI,B360,24.3,24.3,0,
,70,LGA 1151v2,123000,4,2666,4,4,2,,m-ATX,[MSI] B360M 박격포 티타늄,MSI,B360,24.3,24.3,0,
