,161,52.44,33,123000,[NZXT] AER RGB 120 트리플 패키지 BRAVOTEC,NZXT,120mm,25T,유체,4핀,500rpm,1500rpm,22dBA,2년,RGB (Cont),링,검정,검정,
,162,52.44,33,123000,[NZXT] AER RGB 120 스타터 킷 패키지 BRAVOTEC,NZXT,120mm,25T,유체,4핀,500rpm,1500rpm,22dBA,2년,RGB (Cont),링,검정,검정,
,163,52.44,33,44000,[NZXT] AER RGB 120 단품 패키지 BRAVOTEC,NZXT,120mm,25T,유체,4핀,500rpm,1500rpm,22dBA,2년,RGB (Cont),링,검정,검정,
,164,37.8,19,10700,[마이크로닉스] TEMPEST Ring Dual Impeller 120mm White,마이크로닉스,120mm,25T,Hydro,3핀,,1300rpm,,,흰색,링,투명,검정,
,165,37.8,19,10700,[마이크로닉스] TEMPEST Ring Dual Impeller 120mm Red,마이크로닉스,120mm,25T,Hydro,3핀,,1300rpm,,,빨강,링,투명,빨강,
,166,37.8,19,10700,[마이크로닉스] TEMPEST Ring Dual Impeller 120mm Green,마이크로닉스,120mm,25T,Hydro,3핀,,1300rpm,,,흰색,링,투명,녹색,
,167,37.8,19,10700,[마이크로닉스] TEMPEST Ring Dual Impeller 120mm Blue,마이크로닉스,120mm,25T,Hydro,3핀,,1300rpm,,,파랑,링,투명,파랑,
,168,38,22,8900,[마이크로닉스] VIENTO DOUBLE AURA 120mm WHITE,마이크로닉스,120mm,25T,Hydro,3핀,,1200rpm,,,흰색,링,투명,검정,
,169,38,22,9000,[마이크로닉스] VIENTO DOUBLE AURA 120mm RED,마이크로닉스,120mm,25T,Hydro,3핀,,1200rpm,,,빨강,링,투명,빨강,
,170,38,22,9390,[마이크로닉스] VIENTO DOUBLE AURA 120mm BLUE,마이크로닉스,120mm,25T,Hydro,3핀,,1200rpm,,,파랑,링,투명,파랑,
,171,48.34,24.7,123900,[써멀테이크] Riing Plus 12 RGB TT 프리미엄 에디션 (3PACK),써멀테이크,120mm,25T,Hydraulic,9핀,500rpm,1500rpm,,,RGB (Cont),링,검정,검정,
,172,48.79,24.8,83000,[써멀테이크] Riing 12 RGB Radiator Fan TT Premium Edition 아스크텍,써멀테이크,120mm,25T,Hydraulic,9핀,500rpm,1400rpm,18.2dBA,,RGB (Cont),링,검정,검정,
,173,40.6,26.4,55000,[써멀테이크] Riing 12 LED RGB 256 Colors (3PACK),써멀테이크,120mm,25T,Hydraulic,4핀,800rpm,1500rpm,18.5dBA,,256C (Cont),링,검정,검정,
,174,40.6,26.4,25000,[써멀테이크] Riing 12 LED RGB 256 Colors (1PACK),써멀테이크,120mm,25T,Hydraulic,4핀,800rpm,1500rpm,18.5dBA,,256C (Cont),링,검정,검정,
,175,40.6,24.6,16180,[써멀테이크] Riing 12 LED FAN Yellow 아스크텍,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,,노랑,링,검정,검정,
,176,40.6,24.6,15000,[써멀테이크] Riing 12 LED FAN Orange 아스크텍,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,,주황,링,검정,검정,
,177,40.6,24.6,15460,[써멀테이크] Riing 12 LED FAN White 아스크텍,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,,흰색,링,검정,검정,
,178,40.6,24.6,15300,[써멀테이크] Riing 12 LED FAN Green 아스크텍,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,,녹색,링,검정,검정,
,179,40.6,24.6,16000,[써멀테이크] Riing 12 LED FAN Red 아스크텍,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,,빨강,링,검정,검정,
,180,40.6,24.6,15460,[써멀테이크] Riing 12 LED FAN Blue 아스크텍,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,,파랑,링,검정,검정,
,181,32,25,17620,[쿨러마스터] MASTERFAN MF120L RGB,쿨러마스터,120mm,25T,,3핀,,1200rpm,,2년,RGB (MB),팬,투명,검정,
,182,32,25,10880,[쿨러마스터] MASTERFAN MF120L WHITE,쿨러마스터,120mm,25T,,3핀,,1200rpm,,2년,흰색,팬,투명,검정,
,183,32,25,10880,[쿨러마스터] MASTERFAN MF120L RED,쿨러마스터,120mm,25T,,3핀,,1200rpm,,2년,빨강,팬,투명,검정,
,184,32,25,10880,[쿨러마스터] MASTERFAN MF120L BLUE,쿨러마스터,120mm,25T,,3핀,,1200rpm,,2년,파랑,팬,투명,검정,
,185,35,20,22440,[쿨러마스터] MASTERFAN PRO 120 Air Pressure RGB,쿨러마스터,120mm,25T,,4핀,650rpm,1500rpm,6dBA,5년, RGB (MB),팬,투명,검정,
,186,48,20,22440,[쿨러마스터] MASTERFAN PRO 120 Air Flow RGB,쿨러마스터,120mm,25T,,4핀,650rpm,1100rpm,6dBA,5년, RGB (MB),팬,투명,검정,
,0,최대 풍량CFM,최대 소음 dBA,가격,System Cooler,제조사,팬 크기,두께,베어링,커넥터 핀,최소 회전,최대 회전,최소 소음,보증 기간,LED 색,발광 부분,날개 색,본체 색,
,,,,,,,,,,,,,,,,,,,
