,29,6110,154000,54,0,LGA 1150,[Intel] i3-4330 (하스웰) (벌크),Core i3,Intel,2개,4개,3.5 Ghz,지원 안함 ,4MB,HD 4600,1150,1600,
,30,5563,200000,54,0,LGA 1150,[Intel] i3-4360 (하스웰 리프레시) (벌크),Core i3,Intel,2개,4개,3.7 Ghz,지원 안함 ,4MB,HD 4600,1150,1600,
,31,6720,207680,54,0,LGA 1150,[Intel] i3-4370 (하스웰 리프레시) (벌크),Core i3,Intel,2개,4개,3.8 Ghz,지원 안함 ,4MB,HD 4600,1150,1600,
,32,6588,124900,51,0,LGA 1151,[Intel] i3-6100 (스카이레이크),Core i3,Intel,2개,4개,3.7 Ghz,지원 안함 ,3MB,HD 530,1050,2133,
,33,7020,191910,51,0,LGA 1151,[Intel] i3-6300 (스카이레이크),Core i3,Intel,2개,4개,3.8 Ghz,지원 안함 ,4MB,HD 530,1150,2133,
,34,7256,187010,51,0,LGA 1151,[Intel] i3-6320 (스카이레이크),Core i3,Intel,2개,4개,3.9 Ghz,지원 안함 ,4MB,HD 530,1150,2133,
,35,6942,115200,51,0,LGA 1151,[Intel] i3-7100 (카비레이크),Core i3,Intel,2개,4개,3.9 Ghz,지원 안함 ,3MB,HD 630,1100,2400,
,36,7726,162000,51,0,LGA 1151,[Intel] i3-7300 (카비레이크),Core i3,Intel,2개,4개,4 Ghz,지원 안함 ,4MB,HD 630,1150,2400,
,37,7849,165400,51,0,LGA 1151,[Intel] i3-7320 (카비레이크),Core i3,Intel,2개,4개,4.1 Ghz,지원 안함 ,4MB,HD 630,1150,2400,
,38,7945,155700,60,1,LGA 1151,[Intel] i3-7350K (카비레이크),Core i3,Intel,2개,4개,4.2 Ghz,지원 안함 ,4MB,HD 630,1150,2400,
,39,7789,189190,84,0,LGA 1150,[Intel] i5-4440 (하스웰) (벌크),Core i5,Intel,4개,4개,3.1 Ghz,3.3 Ghz,6MB,HD 4600,1100,1600,
