,122,GTX 1070,[갤럭시] GALAX 지포스 GTX1070 개간지 EXOC D5 8GB,\645900,갤럭시,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,296mm,1,1,150W,500W,1,1,3
,123,GTX 1070,[이엠텍] HV 지포스 GTX1070 GAMER Edition D5 8GB,\806650,이엠텍,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,270mm,1,1,150W,500W,1,1,3
,124,GTX 1070,[이엠텍] XENON 지포스 GTX1070 JETSTREAM D5 8GB,\569400,이엠텍,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,285mm,1,0,170W,500W,1,1,3
,125,GTX 1070,[이엠텍] XENON 지포스 GTX1070 JETSTREAM D5 8GB FF14 에디션,\1274670,이엠텍,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,285mm,1,0,170W,500W,1,1,3
,126,GTX 1070,[이엠텍] XENON 지포스 GTX1070 Super JETSTREAM D5 8GB,\594100,이엠텍,GTX 1070,1632 MHz,1835 MHz,2,8000 MHz,285mm,1,0,170W,500W,1,1,3
,127,GTX 1070,[이엠텍] XENON 지포스 GTX1070 Super JETSTREAM D5 8GB FF14 에디션,\1234990,이엠텍,GTX 1070,1632 MHz,1635 MHz,2,8000 MHz,285mm,1,0,170W,500W,1,1,3
,128,GTX 1060 6GB,[ASUS] DUAL 지포스 GTX1060 O6G D5 6GB,\350600,ASUS,GTX 1060 6GB,1569 MHz,1784 MHz,2,8008 MHz,242mm,0,1,170W,500W,1,2,2
,129,GTX 1060 6GB,[ASUS] ROG STRIX 지포스 GTX1060 DC26G GAMING D5 6GB,\388910,ASUS,GTX 1060 6GB,1506 MHz,1708 MHz,2,8008 MHz,218mm,0,0,170W,500W,0,0,0
,130,GTX 1060 6GB,[ASUS] ROG STRIX 지포스 GTX1060 GAMING D5 6GB,\424600,ASUS,GTX 1060 6GB,1506 MHz,1708 MHz,3,8008 MHz,298mm,1,0,170W,500W,1,2,2
,131,GTX 1060 6GB,[ASUS] ROG STRIX 지포스 GTX1060 O6G GAMING D5 6GB,\430000,ASUS,GTX 1060 6GB,1620 MHz,1847 MHz,3,8208 MHz,298mm,1,0,120W,400W,1,2,2
,132,GTX 1060 6GB,[Colorful] IGAME 지포스 GTX1060 VULCAN U D5 6GB,\338700,Colorful,GTX 1060 6GB,1556 MHz,1771 MHz,2,8008 MHz,264mm,0,1,120W,400W,1,1,3
,133,GTX 1060 6GB,[Colorful] IGAME 지포스 GTX1060 VULCAN X D5 6GB,\352560,Colorful,GTX 1060 6GB,1620 MHz,1847 MHz,3,8008 MHz,315mm,0,0,120W,400W,0,0,0
,134,GTX 1060 6GB,[Colorful] 지포스 GTX1060 iGame U-TOP D5 6GB,\372000,Colorful,GTX 1060 6GB,1594 MHz,1809 MHz,3,8008 MHz,302mm,0,2,120W,400W,1,1,3
,135,GTX 1060 6GB,[Colorful] 지포스 GTX1060 토마호크 OC D5 6GB,\316800,Colorful,GTX 1060 6GB,1544 MHz,1759 MHz,2,8008 MHz,250mm,0,1,120W,400W,2,1,1
,136,GTX 1060 6GB,[EVGA] 지포스 GTX1060 SC GAMING D5 6GB,\386000,EVGA,GTX 1060 6GB,1607 MHz,1835 MHz,1,8008 MHz,172.72mm,0,1,120W,400W,1,1,3
,137,GTX 1060 6GB,[GAINWARD] 지포스 GTX1060 게이머 스피릿 D5 6GB,\347400,GAINWARD,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,0,1,120W,400W,1,1,3
,138,GTX 1060 6GB,[GAINWARD] 지포스 GTX1060 피닉스 D5 6GB,\438020,GAINWARD,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,248mm,0,1,120W,400W,1,1,3
,139,GTX 1060 6GB,[GeIL] 지포스 GTX1060 D5 6GB,\324800,GeIL,GTX 1060 6GB,1545 MHz,1759 MHz,2,8008 MHz,240mm,0,1,120W,400W,2,1,1
,140,GTX 1060 6GB,[GIGABYTE] 지포스 GTX1060 AORUS D5 6GB,\427600,GIGABYTE,GTX 1060 6GB,1607 MHz,1835 MHz,3,8008 MHz,280mm,1,0,120W,400W,1,1,3
,141,GTX 1060 6GB,[GIGABYTE] 지포스 GTX1060 G1.Gaming D5 6GB,\395200,GIGABYTE,GTX 1060 6GB,1594 MHz,1809 MHz,2,8008 MHz,278mm,1,0,150W,400W,1,1,3
,142,GTX 1060 6GB,[GIGABYTE] 지포스 GTX1060 UDV D5 6GB 미니미,\370800,GIGABYTE,GTX 1060 6GB,1531 MHz,1746 MHz,1,8008 MHz,170mm,0,1,150W,400W,2,1,1
,143,GTX 1060 6GB,[GIGABYTE] 지포스 GTX1060 UDV D5 6GB 윈드포스,\376900,GIGABYTE,GTX 1060 6GB,1556 MHz,1771 MHz,2,8008 MHz,223mm,0,1,120W,400W,2,1,1
,144,GTX 1060 6GB,[inno3D] 지포스 GTX1060 D5 6GB X2,\322000,inno3D,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,218mm,0,1,120W,400W,1,1,1
,145,GTX 1060 6GB,[MANLI] 지포스 GTX1060 Black Frame OC D5 6GB,\345900,MANLI,GTX 1060 6GB,1531 MHz,1746 MHz,2,8008 MHz,225mm,0,1,120W,400W,1,1,1
,146,GTX 1060 6GB,[MSI] 지포스 GTX1060 OC D5 6GB 윈드스톰,\336900,MSI,GTX 1060 6GB,1544 MHz,1759 MHz,2,8008 MHz,247mm,0,1,120W,400W,1,1,1
,147,GTX 1060 6GB,[MSI] 지포스 GTX1060 게이밍 X D5 6GB 트윈프로져6,\384100,MSI,GTX 1060 6GB,1594 MHz,1809 MHz,2,8108 MHz,277mm,1,0,120W,400W,1,1,3
,148,GTX 1060 6GB,[MSI] 지포스 GTX1060 아머 OC D5 6GB,\351600,MSI,GTX 1060 6GB,1544 MHz,1759 MHz,2,8000 MHz,279mm,1,0,120W,400W,1,1,3
,149,GTX 1060 6GB,[MSI] 지포스 GTX1060 아머 VR OC D5 6GB,\332800,MSI,GTX 1060 6GB,1544 MHz,1759 MHz,2,8008 MHz,275mm,1,0,120W,400W,1,2,2
,150,GTX 1060 6GB,[PALIT] 지포스 GTX1060 DUAL D5 6GB,\360500,PALIT,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,0,1,120W,400W,1,1,3
,151,GTX 1060 6GB,[PALIT] 지포스 GTX1060 JETSTREAM D5 6GB,\387000,PALIT,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,248mm,0,1,120W,400W,1,1,3
,152,GTX 1060 6GB,[PALIT] 지포스 GTX1060 Super JETSTREAM D5 6GB,\391600,PALIT,GTX 1060 6GB,1620 MHz,1847 MHz,2,8000 MHz,248mm,0,1,120W,400W,1,1,3
,153,GTX 1060 6GB,[ZOTAC] AMP 지포스 GTX1060 D5 6GB,\380000,ZOTAC,GTX 1060 6GB,1556 MHz,1771 MHz,2,8000 MHz,210mm,0,1,120W,400W,1,1,3
,154,GTX 1060 6GB,[ZOTAC] AMP 지포스 GTX1060 D5 6GB 백플레이트,\329300,ZOTAC,GTX 1060 6GB,1556 MHz,1771 MHz,2,8000 MHz,210mm,0,1,120W,400W,1,1,3
,155,GTX 1060 6GB,[ZOTAC] 지포스 GTX1060 MINi D5 6GB,\326400,ZOTAC,GTX 1060 6GB,1506 MHz,1708 MHz,1,8000 MHz,174mm,0,1,120W,400W,1,1,3
,156,GTX 1060 6GB,[갤럭시] GALAX 지포스 GTX1060 EXOC D5 6GB G天命,\370000,갤럭시,GTX 1060 6GB,1556 MHz,1771 MHz,2,8008 MHz,268mm,0,1,120W,400W,2,1,1
,157,GTX 1060 6GB,[갤럭시] GALAX 지포스 GTX1060 OC D5 6GB,\347800,갤럭시,GTX 1060 6GB,1518 MHz,1733 MHz,2,8008 MHz,214mm,0,1,120W,400W,1,1,1
,158,GTX 1060 6GB,[갤럭시] GALAX 지포스 GTX1060 개간지 EXOC D5 6GB,\427400,갤럭시,GTX 1060 6GB,1620 MHz,1847 MHz,2,8008 MHz,237mm,0,1,120W,400W,2,1,1
,159,GTX 1060 6GB,[이엠텍] HV 지포스 GTX1060 OC D5 6GB,\799990,이엠텍,GTX 1060 6GB,1518 MHz,1734 MHz,2,8000 MHz,235mm,0,1,120W,400W,1,1,1
,160,GTX 1060 6GB,[이엠텍] XENON 지포스 GTX1060 JETSTREAM D5 6GB,\388200,이엠텍,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,250mm,0,1,120W,400W,1,1,3
,161,GTX 1060 6GB,[이엠텍] XENON 지포스 GTX1060 STORM X Dual D5 6GB,\361700,이엠텍,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,250mm,0,1,120W,400W,1,1,3
,162,GTX 1060 6GB,[이엠텍] XENON 지포스 GTX1060 Super JETSTREAM D5 6GB,\391900,이엠텍,GTX 1060 6GB,1620 MHz,1848 MHz,2,8000 MHz,250mm,0,1,120W,400W,1,1,3
,163,GTX 1060 6GB,[이엠텍] XENON 지포스 GTX1060 WHITE MONSTER D5 6GB,\385400,이엠텍,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,248mm,0,0,120W,400W,0,0,0
,164,GTX 1060 6GB,[이엠텍] XENON 지포스 GTX1060 WHITE MONSTER OC D5 6GB,\395000,이엠텍,GTX 1060 6GB,1620 MHz,1848 MHz,2,8000 MHz,248mm,0,0,120W,400W,0,0,0
,165,GTX 1060 3GB,[ASUS] DUAL 지포스 GTX1060 O3G D5 3GB,\278100,ASUS,GTX 1060 3GB,1569 MHz,1785 MHz,2,8008 MHz,242mm,0,1,120W,400W,1,2,2
,166,GTX 1060 3GB,[ASUS] PH 지포스 GTX1060 D5 3GB,\527180,ASUS,GTX 1060 3GB,1506 MHz,1708 MHz,1,8008 MHz,183mm,0,1,120W,400W,1,2,2
,167,GTX 1060 3GB,[Colorful] 지포스 GTX1060 iCafe V2 D5 3GB,\258500,Colorful,GTX 1060 3GB,1519 MHz,1734 MHz,2,8008 MHz,233mm,0,1,120W,400W,1,1,1
,168,GTX 1060 3GB,[Colorful] IGAME 지포스 GTX1060 VULCAN U D5 3GB,\239000,Colorful,GTX 1060 3GB,1556 MHz,1771 MHz,2,8008 MHz,264mm,0,1,120W,400W,1,1,3
,169,GTX 1060 3GB,[Colorful] 지포스 GTX1060 iGame U-TOP OC D5 3GB,\300990,Colorful,GTX 1060 3GB,1594 MHz,1809 MHz,3,8008 MHz,300mm,0,2,120W,400W,1,1,3
,170,GTX 1060 3GB,[Colorful] 지포스 GTX1060 REVENGE D5 3GB,\492430,Colorful,GTX 1060 3GB,1506 MHz,1708 MHz,2,8008 MHz,240mm,0,1,120W,400W,1,1,3
,171,GTX 1060 3GB,[Colorful] 지포스 GTX1060 REVENGE V2 D5 3GB,\298200,Colorful,GTX 1060 3GB,1519 MHz,1734 MHz,2,8008 MHz,233mm,0,1,120W,400W,1,1,1
,172,GTX 1060 3GB,[Colorful] 지포스 GTX1060 토마호크 OC D5 3GB,\248400,Colorful,GTX 1060 3GB,1544 MHz,1759 MHz,2,8008 MHz,250mm,0,1,120W,400W,2,1,1
,173,GTX 1060 3GB,[EVGA] 지포스 GTX1060 SC GAMING D5 3GB,\284000,EVGA,GTX 1060 3GB,1607 MHz,1835 MHz,1,8008 MHz,172.72mm,0,0,120W,400W,0,0,0
,174,GTX 1060 3GB,[GAINWARD] 지포스 GTX1060 게이머 스피릿 Dual D5 3GB,\261600,GAINWARD,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,0,1,120W,400W,1,1,3
,175,GTX 1060 3GB,[GeIL] 지포스 GTX1060 D5 3GB,\261400,GeIL,GTX 1060 3GB,1545 MHz,1759 MHz,2,8008 MHz,240mm,0,1,120W,400W,2,1,1
,176,GTX 1060 3GB,[GIGABYTE] 지포스 GTX1060 G1.Gaming D5 3GB,\306000,GIGABYTE,GTX 1060 3GB,1594 MHz,1809 MHz,2,8008 MHz,278mm,1,0,140W,400W,1,1,3
,177,GTX 1060 3GB,[GIGABYTE] 지포스 GTX1060 UDV D5 3GB 미니미,\258700,GIGABYTE,GTX 1060 3GB,1531 MHz,1746 MHz,1,8008 MHz,170mm,0,1,140W,400W,2,1,1
,178,GTX 1060 3GB,[GIGABYTE] 지포스 GTX1060 UDV D5 3GB 윈드포스,\272900,GIGABYTE,GTX 1060 3GB,1556 MHz,1771 MHz,2,8008 MHz,223mm,0,1,147W,400W,2,1,1
,179,GTX 1060 3GB,[inno3D] 지포스 GTX1060 X2 D5 3GB,\250920,inno3D,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,220mm,0,1,120W,400W,1,1,1
,180,GTX 1060 3GB,[MANLI] 지포스 GTX1060 Black Frame OC D5 3GB,\252900,MANLI,GTX 1060 3GB,1531 MHz,1746 MHz,2,8008 MHz,225mm,0,1,120W,400W,1,1,1
,181,GTX 1060 3GB,[MSI] 지포스 GTX1060 OC D5 3GB 윈드스톰,\253500,MSI,GTX 1060 3GB,1544 MHz,1759 MHz,2,8008 MHz,243mm,0,1,120W,400W,1,1,1
,182,GTX 1060 3GB,[MSI] 지포스 GTX1060 게이밍 X D5 3GB 트윈프로져6,\306900,MSI,GTX 1060 3GB,1594 MHz,1809 MHz,2,8108 MHz,277mm,1,0,120W,400W,1,1,3
,183,GTX 1060 3GB,[MSI] 지포스 GTX1060 아머 OC D5 3GB,\278640,MSI,GTX 1060 3GB,1544 MHz,1759 MHz,2,8000 MHz,250mm,0,1,120W,400W,2,1,1
,184,GTX 1060 3GB,[MSI] 지포스 GTX1060 아머 VR OC D5 3GB,\264800,MSI,GTX 1060 3GB,1544 MHz,1759 MHz,2,8008 MHz,275mm,1,0,120W,400W,1,2,2
,185,GTX 1060 3GB,[PALIT] 지포스 GTX1060 DUAL D5 3GB,\264990,PALIT,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,0,1,120W,400W,1,1,3
,186,GTX 1060 3GB,[PALIT] 지포스 GTX1060 STORM X D5 3GB,\281200,PALIT,GTX 1060 3GB,1506 MHz,1708 MHz,1,8000 MHz,252mm,0,1,120W,400W,1,1,3
,187,GTX 1060 3GB,[ZOTAC] AMP 지포스 GTX1060 D5 3GB,\248400,ZOTAC,GTX 1060 3GB,1582 MHz,1797 MHz,2,8000 MHz,206mm,0,1,120W,400W,1,1,3
,188,GTX 1060 3GB,[ZOTAC] 지포스 GTX1060 MINi D5 3GB,\271320,ZOTAC,GTX 1060 3GB,1506 MHz,1708 MHz,1,8000 MHz,174mm,0,1,120W,400W,1,1,3
,189,GTX 1060 3GB,[갤럭시] GALAX 지포스 GTX1060 EXOC D5 3GB G天命,\302200,갤럭시,GTX 1060 3GB,1544 MHz,1759 MHz,2,8008 MHz,268mm,0,1,120W,400W,2,1,1
,190,GTX 1060 3GB,[갤럭시] GALAX 지포스 GTX1060 OC D5 3GB,\255400,갤럭시,GTX 1060 3GB,1518 MHz,1733 MHz,2,8008 MHz,214mm,0,1,120W,400W,1,1,1
,191,GTX 1060 3GB,[갤럭시] GALAX 지포스 GTX1060 개간지 EXOC D5 3GB,\317500,갤럭시,GTX 1060 3GB,1556 MHz,1771 MHz,2,8008 MHz,237mm,0,1,120W,400W,2,1,1
,192,GTX 1060 3GB,[이엠텍] HV 지포스 GTX1060 OC D5 3GB,\496720,이엠텍,GTX 1060 3GB,1518 MHz,1734 MHz,2,8000 MHz,235mm,0,1,120W,400W,1,1,1
,193,GTX 1060 3GB,[이엠텍] HV 지포스 GTX1060 WHITE MONSTER D5 3GB,\267200,이엠텍,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,248mm,0,0,120W,400W,0,0,0
,194,GTX 1060 3GB,[이엠텍] HV 지포스 GTX1060 WHITE MONSTER OC D5 3GB,\275000,이엠텍,GTX 1060 3GB,1594 MHz,1809 MHz,2,8000 MHz,248mm,0,0,120W,400W,0,0,0
,195,GTX 1060 3GB,[이엠텍] XENON 지포스 GTX1060 STORM X Dual D5 3GB,\265800,이엠텍,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,0,1,120W,400W,1,1,3
,196,GTX 1050 Ti,[ASUS] PH 지포스 GTX1050 Ti D5 4GB,\180300,ASUS,GTX 1050 Ti,1290 MHz,1392 MHz,1,7008 MHz,192mm,0,0,120W,400W,1,1,1
,197,GTX 1050 Ti,[ASUS] ROG STRIX 지포스 GTX1050 Ti O4G GAMING D5 4GB,\275670,ASUS,GTX 1050 Ti,1379 MHz,1493 MHz,2,7008 MHz,241mm,0,1,75W,400W,2,1,1
,198,GTX 1050 Ti,[Colorful] 지포스 GTX1050 Ti CODEBLUE D5 4GB,\287040,Colorful,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,214mm,0,1,75W,300W,1,1,1
,199,GTX 1050 Ti,[Colorful] 지포스 GTX1050 Ti CODEBLUE V3 D5 4GB,\175000,Colorful,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,185mm,0,0,75W,300W,1,1,1
,200,GTX 1050 Ti,[Colorful] 지포스 GTX1050 Ti 토마호크 OC D5 4GB,\197910,Colorful,GTX 1050 Ti,1368 MHz,1468 MHz,2,7000 MHz,240mm,0,1,75W,300W,1,1,1
,201,GTX 1050 Ti,[Colorful] IGAME 지포스 GTX1050 Ti VULCAN U OC D5 4GB,\176000,Colorful,GTX 1050 Ti,1379 MHz,1493 MHz,2,7000 MHz,243mm,0,1,75W,300W,1,1,1
,202,GTX 1050 Ti,[Colorful] 지포스 GTX1050 Ti REVENGE OC D5 4GB,\311810,Colorful,GTX 1050 Ti,1328 MHz,1442 MHz,2,7000 MHz,230mm,0,1,75W,300W,1,1,1
,203,GTX 1050 Ti,[EVGA] 지포스 GTX1050 Ti SC GAMING D5 4GB,\195000,EVGA,GTX 1050 Ti,1290 MHz,1392 MHz,1,7010 MHz,,0,0,75W,300W,1,1,1
,204,GTX 1050 Ti,[GAINWARD] 지포스 GTX1050 Ti 게이머 스피릿 D5 4GB,\178600,GAINWARD,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,161mm,0,0,75W,300W,1,1,1
,205,GTX 1050 Ti,[GeIL] 지포스 GTX1050 Ti D5 4GB,\195600,GeIL,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,170mm,0,0,75W,300W,1,1,1
,206,GTX 1050 Ti,[GIGABYTE] 지포스 GTX1050 Ti G1.Gaming D5 4GB,\234500,GIGABYTE,GTX 1050 Ti,1366 MHz,1480 MHz,2,7008 MHz,219mm,0,1,75W,300W,1,3,1
,207,GTX 1050 Ti,[GIGABYTE] 지포스 GTX1050 Ti UD2 D5 4GB Nano LP,\205000,GIGABYTE,GTX 1050 Ti,1303 MHz,1417 MHz,1,7008 MHz,167mm,0,0,75W,300W,1,2,1
,208,GTX 1050 Ti,[GIGABYTE] 지포스 GTX1050 Ti UD2 D5 4GB 미니미,\203000,GIGABYTE,GTX 1050 Ti,1290 MHz,1392 MHz,1,7008 MHz,172mm,0,0,75W,300W,1,1,1
,209,GTX 1050 Ti,[GIGABYTE] 지포스 GTX1050 Ti UD2 WF-2X D5 4GB,\212800,GIGABYTE,GTX 1050 Ti,1316 MHz,1430 MHz,2,7008 MHz,191mm,0,0,75W,300W,1,1,1
,210,GTX 1050 Ti,[GIGABYTE] 지포스 GTX1050 Ti UDV D5 4GB 윈드포스,\231000,GIGABYTE,GTX 1050 Ti,1328 MHz,1442 MHz,2,7008 MHz,229mm,0,1,75W,300W,1,3,1
,211,GTX 1050 Ti,[inno3D] 지포스 GTX1050 Ti Compact D5 4GB,\168900,inno3D,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,145mm,0,0,75W,400W,1,1,1
,212,GTX 1050 Ti,[MANLI] 지포스 GTX1050 Ti Black Frame Mini D5 4GB,\162700,MANLI,GTX 1050 Ti,1290 MHz,1392 MHz,1,7008 MHz,175mm,0,0,75W,300W,1,1,1
,213,GTX 1050 Ti,[MANLI] 지포스 GTX1050 Ti Gallardo OC D5 4GB,\166500,MANLI,GTX 1050 Ti,1379 MHz,1493 MHz,2,7008 MHz,200mm,0,1,75W,300W,1,1,1
,214,GTX 1050 Ti,[MSI] 지포스 GTX1050 Ti OC D5 4GB 스톰,\181400,MSI,GTX 1050 Ti,1341 MHz,1455 MHz,1,7000 MHz,177mm,0,0,75W,300W,1,1,1
,215,GTX 1050 Ti,[MSI] 지포스 GTX1050 Ti OC D5 4GB 윈드스톰,\190900,MSI,GTX 1050 Ti,1341 MHz,1455 MHz,2,7000 MHz,215mm,0,0,75W,300W,1,1,1
,216,GTX 1050 Ti,[MSI] 지포스 GTX1050 Ti 게이밍 X D5 4GB 트윈프로져6,\229900,MSI,GTX 1050 Ti,1379 MHz,1493 MHz,2,7108 MHz,229mm,0,1,75W,300W,1,1,1
,217,GTX 1050 Ti,[PALIT] 지포스 GTX1050 Ti DUAL OC D5 4GB,\210500,PALIT,GTX 1050 Ti,1366 MHz,1480 MHz,2,7000 MHz,216mm,0,1,85W,300W,1,1,1
,218,GTX 1050 Ti,[PALIT] 지포스 GTX1050 Ti STORM X D5 4GB,\206400,PALIT,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,166mm,0,0,75W,300W,1,1,1
,219,GTX 1050 Ti,[ZOTAC] 지포스 GTX1050 Ti D5 4GB LP,\230000,ZOTAC,GTX 1050 Ti,1290 MHz,1392 MHz,2,7000 MHz,160mm,0,0,75W,300W,1,1,1
,220,GTX 1050 Ti,[ZOTAC] 지포스 GTX1050 Ti DUALSILENCER OC D5 4GB,\230000,ZOTAC,GTX 1050 Ti,1392 MHz,1506 MHz,2,7000 MHz,174mm,0,0,75W,300W,1,1,1
,221,GTX 1050 Ti,[ZOTAC] 지포스 GTX1050 Ti MINi D5 4GB,\165000,ZOTAC,GTX 1050 Ti,1303 MHz,1417 MHz,1,7000 MHz,144.78mm,0,0,75W,300W,1,1,1
,222,GTX 1050 Ti,[갤럭시] GALAX 지포스 GTX1050 Ti EXOC D5 4GB G天命,\222900,갤럭시,GTX 1050 Ti,1354 MHz,1488 MHz,2,7008 MHz,245mm,0,1,75W,300W,2,1,1
,223,GTX 1050 Ti,[갤럭시] GALAX 지포스 GTX1050 Ti OC D5 4GB,\168400,갤럭시,GTX 1050 Ti,1303 MHz,1417 MHz,1,7008 MHz,196mm,0,0,75W,300W,1,1,1
,224,GTX 1050 Ti,[갤럭시] GALAX 지포스 GTX1050 Ti OC D5 4GB LP,\219300,갤럭시,GTX 1050 Ti,1303 MHz,1417 MHz,2,7008 MHz,166mm,0,0,75W,300W,1,1,1
,225,GTX 1050 Ti,[갤럭시] GALAX 지포스 GTX1050 Ti 개간지 EXOC D5 4GB,\232900,갤럭시,GTX 1050 Ti,1354 MHz,1488 MHz,2,7008 MHz,230mm,0,1,75W,300W,2,1,1
,226,GTX 1050 Ti,[이엠텍] HV 지포스 GTX1050 Ti GAMER Edition OC D5 4GB,\194000,이엠텍,GTX 1050 Ti,1354 MHz,1468 MHz,2,7008 MHz,228mm,0,1,75W,300W,2,1,1
,227,GTX 1050 Ti,[이엠텍] HV 지포스 GTX1050 Ti MINI MONSTER D5 4GB,\188400,이엠텍,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,166mm,0,0,75W,300W,0,0,0
,228,GTX 1050 Ti,[이엠텍] HV 지포스 GTX1050 Ti OC D5 4GB,\191200,이엠텍,GTX 1050 Ti,1303 MHz,1417 MHz,1,7008 MHz,181mm,0,0,75W,300W,1,1,1
,229,GTX 1050 Ti,[이엠텍] XENON 지포스 GTX1050 Ti STORM X Dual OC D5 4GB,\196600,이엠텍,GTX 1050 Ti,1366 MHz,1480 MHz,2,7000 MHz,220mm,0,1,75W,300W,1,1,1
,230,GTX 1050 Ti,[이엠텍] XENON 지포스 GTX1050 Ti STORM X Nano D5 4GB,\185900,이엠텍,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,166mm,0,1,75W,300W,1,1,1
,231,GTX 1050 3GB,[COLORFUL] 지포스 GTX1050 토마호크 OC D5 3GB,\168000,Colorful,GTX 1050 3GB,1392 MHz,1518 MHz,2,7000 MHz,237mm,0,0,75W,300W,0,0,0
,232,GTX 1050 3GB,[COLORFUL] 지포스 iCafe D5 3GB,\157000,Colorful,GTX 1050 3GB,1392 MHz,1518 MHz,2,7000 MHz,208mm,0,0,75W,300W,0,0,0
,233,GTX 1050 3GB,[GIGABYTE] 지포스 GTX1050 UD2 D5 3GB 미니미,\169000,GIGABYTE,GTX 1050 3GB,1392 MHz,1518 MHz,1,7008 MHz,172mm,0,0,75W,300W,0,0,0
,234,GTX 1050 3GB,[GIGABYTE] 지포스 GTX1050 UD2 D5 3GB Nano LP,\179000,GIGABYTE,GTX 1050 3GB,1404 MHz,1544 MHz,1,7008 MHz,167mm,0,0,75W,300W,0,0,0
,235,GTX 1050 3GB,[GIGABYTE] 지포스 GTX1050 UD2 WF-2X D5 3GB,\179000,GIGABYTE,GTX 1050 3GB,1417 MHz,1556 MHz,2,7008 MHz,191mm,0,0,75W,300W,0,0,0
,236,GTX 1050 2GB,[ASUS] DUAL 지포스 GTX1050 O2G V2 D5 2GB,\185000,ASUS,GTX 1050 2GB,1404 MHz,1518 MHz,,7008 MHz,203mm,0,0,75W,300W,1,1,1
,237,GTX 1050 2GB,[ASUS] PH 지포스 GTX1050 D5 2GB,\133000,ASUS,GTX 1050 2GB,1354 MHz,1455 MHz,1,7008 MHz,192mm,0,0,75W,300W,1,1,1
,238,GTX 1050 2GB,[AFOX] 지포스 GTX1050 D5 2GB DUAL 디앤디컴,\152000,AFOX,GTX 1050 2GB,1354 MHz,1455 MHz,2,7008 MHz,210mm,0,1,75W,300W,1,1,1
,239,GTX 1050 2GB,[AXLE] 지포스 GTX1050 D5 2GB DUAL,\139500,AXLE,GTX 1050 2GB,1354 MHz,1455 MHz,2,7008 MHz,210mm,0,0,75W,300W,1,1,1
,240,GTX 1050 2GB,[Colorful] 지포스 GTX1050 CODEBLUE V2 D5 2GB,\213120,Colorful,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,185mm,0,0,75W,300W,1,1,1
,241,GTX 1050 2GB,[Colorful] 지포스 GTX1050 CODEBLUE V3 D5 2GB,\210950,Colorful,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,185mm,0,0,75W,300W,1,1,1
,242,GTX 1050 2GB,[Colorful] 지포스 GTX1050 iCafe D5 2GB,\311640,Colorful,GTX 1050 2GB,1354 MHz,1455 MHz,2,7000 MHz,230mm,0,1,75W,300W,1,1,1
,243,GTX 1050 2GB,[Colorful] 지포스 GTX1050 REVENGE D5 2GB LP,\185120,Colorful,GTX 1050 2GB,1354 MHz,1455 MHz,2,7000 MHz,200mm,0,0,75W,300W,1,1,1
,244,GTX 1050 2GB,[Colorful] 지포스 GTX1050 토마호크 OC D5 2GB,\151800,Colorful,GTX 1050 2GB,1430 MHz,1544 MHz,2,7000 MHz,240mm,0,1,75W,300W,1,1,1
,245,GTX 1050 2GB,[FORSA] 지포스 GTX1050 D5 2GB ,\186000,FORSA,GTX 1050 2GB,1354 MHz,1455 MHz,1,7008 MHz,181mm,0,0,75W,300W,1,1,1
,246,GTX 1050 2GB,[FORSA] 지포스 GTX1050 D5 2GB DUAL,\152010,FORSA,GTX 1050 2GB,1354 MHz,1455 MHz,2,7008 MHz,210mm,0,1,75W,300W,1,1,1
,247,GTX 1050 2GB,[GAINWARD] 지포스 GTX1050 게이머 스피릿 D5 2GB,\150000,GAINWARD,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,161mm,0,0,75W,300W,1,1,1
