,28,GTX 1080 Ti,[갤럭시] GALAX 지포스 GTX1080 Ti EXOC White D5X 11GB G天命,\1104800,갤럭시,GTX 1080 Ti,1531 MHz,1645 MHz,2,11010 MHz,281mm,1,1,250W,600W,0,1,3
,29,GTX 1080 Ti,[이엠텍] XENON 지포스 GTX1080 Ti JETSTREAM D5X 11GB,\1064000,이엠텍,GTX 1080 Ti,1480 MHz,1582 MHz,2,11000 MHz,285mm,2,0,300W,600W,1,1,3
,30,GTX 1080 Ti,[이엠텍] XENON 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB,\1072700,이엠텍,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,2,0,250W,600W,1,1,3
,31,GTX 1080,[ASUS] ROG STRIX 지포스 GTX1080 A8G GAMING D5X 8GB,\839000,ASUS,GTX 1080,1670 MHz,1809 MHz,3,10000 MHz,298mm,1,1,180W,500W,1,2,2
,32,GTX 1080,[Colorful] IGAME 지포스 GTX1080 VULCAN UT D5X 8GB,\661300,Colorful,GTX 1080,1607 MHz,1733 MHz,3,10010 MHz,302mm,2,0,180W,500W,1,1,3
,33,GTX 1080,[Colorful] 지포스 GTX1080 iGame U-TOP D5X 8GB,\1132010,Colorful,GTX 1080,1645 MHz,1784 MHz,3,10010 MHz,302mm,2,0,180W,500W,1,1,3
,34,GTX 1080,[Colorful] 지포스 GTX1080 iGame X-TOP Advanced D5X 8GB,\1369230,Colorful,GTX 1080,1759 MHz,1898 MHz,3,10008 MHz,315mm,2,0,180W,500W,1,1,3
,35,GTX 1080,[Colorful] 지포스 GTX1080 iGame X-TOP D5X 8GB,\1324170,Colorful,GTX 1080,1708 MHz,1847 MHz,3,10010 MHz,302mm,2,0,180W,500W,1,1,3
,36,GTX 1080,[EVGA] 지포스 GTX1080 FTW GAMING D5X 8GB,\819000,EVGA,GTX 1080,1721 MHz,1860 MHz,2,10000 MHz,302mm,0,0,180W,500W,0,0,0
,37,GTX 1080,[EVGA] 지포스 GTX1080 FTW2 GAMING OC D5X 8GB,\849000,EVGA,GTX 1080,1721 MHz,1860 MHz,2,11016 MHz,266.7mm,0,0,180W,500W,0,0,0
,38,GTX 1080,[GAINWARD] 지포스 GTX1080 피닉스 GS D5X 8GB,\702600,GAINWARD,GTX 1080,1708 MHz,1847 MHz,2,10000 MHz,285mm,2,1,250W,500W,1,1,3
,39,GTX 1080,[GIGABYTE] 지포스 GTX1080 AORUS Gaming Box,\920000,GIGABYTE,GTX 1080,1709 MHz,1848 MHz,2,10001 MHz,286mm,0,0,180W,500W,1,0,3
,40,GTX 1080,[GIGABYTE] 지포스 GTX1080 G1.Gaming D5X 8GB,\771100,GIGABYTE,GTX 1080,1695 MHz,1835 MHz,3,10010 MHz,286mm,1,0,180W,500W,1,1,3
,41,GTX 1080,[GIGABYTE] 지포스 GTX1080 UDV D5X 8GB 윈드포스,\758800,GIGABYTE,GTX 1080,1632 MHz,1771 MHz,3,10010 MHz,280mm,1,0,180W,500W,1,1,3
,42,GTX 1080,[GIGABYTE] 지포스 GTX1080 Xtreme D5X 8GB 워터블럭,\1239970,GIGABYTE,GTX 1080,1759 MHz,1898 MHz,2,10206 MHz,266mm,2,0,180W,500W,1,1,3
,43,GTX 1080,[inno3D] 지포스 GTX1080 D5X 8GB X2 트윈쿨러,\668990,inno3D,GTX 1080,1607 MHz,1733 MHz,2,10000 MHz,266mm,1,0,180W,500W,1,1,3
,44,GTX 1080,[MANLI] 지포스 GTX1080 Black Scale D5X 8GB,\1131020,MANLI,GTX 1080,1607 MHz,1733 MHz,1,10010 MHz,281mm,1,0,180W,500W,1,1,3
,45,GTX 1080,[MANLI] 지포스 GTX1080 Gallardo OC D5X 8GB,\713360,MANLI,GTX 1080,1670 MHz,1809 MHz,3,10010 MHz,307mm,1,0,180W,500W,1,1,3
,46,GTX 1080,[MSI] 지포스 GTX1080 게이밍 X D5X 8GB 트윈프로져6,\771000,MSI,GTX 1080,1708 MHz,1847 MHz,2,10108 MHz,279mm,1,1,180W,500W,1,1,3
,47,GTX 1080,[MSI] 지포스 GTX1080 아머 OC D5X 8GB,\725400,MSI,GTX 1080,1657 MHz,1797 MHz,2,10010 MHz,279mm,1,1,180W,500W,1,1,3
,48,GTX 1080,[PALIT] 지포스 GTX1080 DUAL OC D5X 8GB,\699800,PALIT,GTX 1080,1620 MHz,1759 MHz,2,10000 MHz,252mm,0,0,180W,500W,0,0,0
,49,GTX 1080,[PALIT] 지포스 GTX1080 JETSTREAM D5X 8GB,\756800,PALIT,GTX 1080,1607 MHz,1733 MHz,2,10000 MHz,285mm,1,1,180W,500W,1,1,3
,50,GTX 1080,[PALIT] 지포스 GTX1080 Super JETSTREAM D5X 8GB,\793000,PALIT,GTX 1080,1708 MHz,1847 MHz,2,10000 MHz,285mm,1,1,200W,500W,1,1,3
,51,GTX 1080,[ZOTAC] AMP 지포스 GTX1080 AIR D5X 8GB,\690400,ZOTAC,GTX 1080,1620 MHz,1759 MHz,2,10000 MHz,211mm,1,0,180W,500W,1,1,3
,52,GTX 1080,[갤럭시] GALAX 지포스 GTX1080 EXOC D5X 8GB ,\733000,갤럭시,GTX 1080,1657 MHz,1797 MHz,2,10010 MHz,282mm,0,0,180W,500W,0,0,0
,53,GTX 1080,[갤럭시] GALAX 지포스 GTX1080 EXOC D5X 8GB G美,\726800,갤럭시,GTX 1080,1657 MHz,1797 MHz,2,10010 MHz,282mm,1,1,180W,500W,1,1,3
,54,GTX 1080,[갤럭시] GALAX 지포스 GTX1080 EXOC D5X 8GB G天命,\910260,갤럭시,GTX 1080,1657 MHz,1797 MHz,2,11010 MHz,296mm,1,1,180W,500W,1,1,3
,55,GTX 1080,[갤럭시] GALAX 지포스 GTX1080 Hall Of Fame D5X 8GB,\1139720,갤럭시,GTX 1080,1733 MHz,1873 MHz,3,10010 MHz,317mm,2,,180W,500W,1,1,3
,56,GTX 1080,[갤럭시] GALAX 지포스 GTX1080 개간지 EXOC D5X 8GB Black Edition,\830000,갤럭시,GTX 1080,1657 MHz,1797 MHz,2,10010 MHz,296mm,1,1,180W,500W,1,1,3
,57,GTX 1080,[이엠텍] HV 지포스 GTX1080 GAMER Edition D5X 8GB,\781800,이엠텍,GTX 1080,1657 MHz,1797 MHz,2,10000 MHz,270mm,1,1,180W,500W,1,1,3
,58,GTX 1080,[이엠텍] XENON 지포스 GTX1080 JETSTREAM D5X 8GB,\757000,이엠텍,GTX 1080,1607 MHz,1733 MHz,2,10000 MHz,285mm,1,1,180W,500W,1,1,3
,59,GTX 1080,[이엠텍] XENON 지포스 GTX1080 Super JETSTREAM D5X 8GB,\776300,이엠텍,GTX 1080,1708 MHz,1847 MHz,2,10000 MHz,285mm,1,1,180W,500W,1,1,3
,60,GTX 1070 Ti,[ASUS] CERBERUS 지포스 GTX1070 Ti A8G D5 8GB,\720000,ASUS,GTX 1070 Ti,1670 MHz,1746 MHz,2,8008 MHz,270mm,1,0,180W,500W,1,2,2
,61,GTX 1070 Ti,[ASUS] ROG STRIX 지포스 GTX1070 Ti A8G GAMING D5 8GB,\649600,ASUS,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,298mm,1,0,180W,500W,1,1,3
,62,GTX 1070 Ti,[Colorful] IGAME 지포스 GTX1070 Ti VULCAN U-TOP D5 8GB,\698990,Colorful,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,305mm,2,0,180W,500W,1,2,2
,63,GTX 1070 Ti,[Colorful] IGAME 지포스 GTX1070 Ti VULCAN X D5 8GB,\642090,Colorful,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,315mm,2,0,180W,500W,1,2,2
,64,GTX 1070 Ti,[EVGA] 지포스 GTX1070 Ti FTW2 GAMING D5 8GB,\759000,EVGA,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,266.7mm,2,0,235W,500W,1,1,3
,65,GTX 1070 Ti,[EVGA] 지포스 GTX1070 Ti SC GAMING D5 8GB,\659000,EVGA,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,266.7mm,1,0,217W,500W,1,1,3
,66,GTX 1070 Ti,[GAINWARD] 지포스 GTX1070 Ti 게이머 스피릿 D5 8GB Dual,\596600,GAINWARD,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,252mm,1,0,180W,500W,1,1,3
,67,GTX 1070 Ti,[GeIL] 지포스 GTX1070 Ti D5 8GB,\610900,GeIL,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,280mm,0,1,180W,500W,1,1,3
,68,GTX 1070 Ti,[GIGABYTE] 지포스 GTX1070 Ti AORUS D5 8GB,\681200,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,280mm,1,0,180W,500W,1,1,3
,69,GTX 1070 Ti,[GIGABYTE] 지포스 GTX1070 Ti Gaming D5 8GB,\654300,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,280mm,1,0,180W,500W,1,1,3
,70,GTX 1070 Ti,[GIGABYTE] 지포스 GTX1070 Ti UDV D5 8GB 윈드포스,\631400,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,280mm,1,0,180W,500W,1,1,3
,71,GTX 1070 Ti,[inno3D] 지포스 GTX1070 Ti D5 8GB X2,\588900,inno3D,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,266mm,1,0,180W,500W,1,1,3
,72,GTX 1070 Ti,[MANLI] 지포스 GTX1070 Ti Black Scale D5 8GB,\787990,MANLI,GTX 1070 Ti,1607 MHz,1683 MHz,1,8008 MHz,281mm,1,0,180W,500W,1,1,3
,73,GTX 1070 Ti,[MANLI] 지포스 GTX1070 Ti Gallardo D5 8GB,\585600,MANLI,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,308mm,1,0,180W,500W,1,1,3
,74,GTX 1070 Ti,[MSI] 지포스 GTX1070 Ti 아머 D5 8GB,\582000,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,1,1,3
,75,GTX 1070 Ti,[MSI] 지포스 GTX1070 Ti 게이밍 D5 8GB 트윈프로져6,\640000,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,1,1,3
,76,GTX 1070 Ti,[MSI] 지포스 GTX1070 Ti 티타늄 D5 8GB 트윈프로져6,\726800,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,1,1,3
,77,GTX 1070 Ti,[PALIT] 지포스 GTX1070 Ti DUAL D5 8GB,\600800,PALIT,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,252mm,1,0,180W,500W,1,1,3
,78,GTX 1070 Ti,[PALIT] 지포스 GTX1070 Ti JETSTREAM D5 8GB,\667400,PALIT,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,285mm,1,1,180W,500W,1,1,3
,79,GTX 1070 Ti,[ZOTAC] AMP EXTREME 지포스 GTX1070 Ti D5 8GB,\1049990,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,325mm,2,0,180W,500W,1,1,3
,80,GTX 1070 Ti,[ZOTAC] AMP 지포스 GTX1070 Ti AIR D5 8GB,\583100,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,211mm,1,0,180W,500W,1,1,3
,81,GTX 1070 Ti,[ZOTAC] AMP 지포스 GTX1070 Ti D5 8GB,\625000,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,300mm,2,0,180W,500W,1,1,3
,82,GTX 1070 Ti,[갤럭시] GALAX 지포스 GTX1070 Ti EXOC D5 8GB G天命,\626900,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,296mm,1,1,180W,500W,1,1,3
,83,GTX 1070 Ti,[갤럭시] GALAX 지포스 GTX1070 Ti Hall Of Fame D5 8GB,\758000,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,330mm,2,0,180W,500W,1,1,3
,84,GTX 1070 Ti,[갤럭시] GALAX 지포스 GTX1070 Ti 개간지 EXOC D5 8GB,\660300,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,296mm,1,1,180W,500W,1,1,3
