,,,RAM 품목,가격,회사,클럭 ,램 규격,개수,용량,타이밍,전압,XMP,색깔,LED
51,CORSAIR,,[CORSAIR] DDR4 32G PC4-21300 CL16 VENGEANCE RGB (16G X 2),\611000,CORSAIR,2666 Mhz,DDR4,2개,32GB,16-18-18-36,1.2V,O,검정,RGB
52,CORSAIR,,[CORSAIR] DDR4 32G PC4-24000 CL15 VENGEANCE RGB (16G X 2),\645000,CORSAIR,3000 Mhz,DDR4,2개,32GB,15-17-17-35,1.35V,O,검정,RGB
53,CORSAIR,,[CORSAIR] DDR4 32G PC4-25600 CL16 VENGEANCE RGB (16G X 2),\643800,CORSAIR,3200 Mhz,DDR4,2개,32GB,16-18-18-36,1.35V,O,검정,RGB
54,CORSAIR,,[CORSAIR] DDR4 32G PC4-21300 CL16 VENGEANCE RGB (8G X 4),\627500,CORSAIR,2666 Mhz,DDR4,4개,32GB,16-18-18-36,1.2V,O,검정,RGB
55,CORSAIR,,[CORSAIR] DDR4 32G PC4-24000 CL15 VENGEANCE RGB (8G X 4),\637000,CORSAIR,3000 Mhz,DDR4,4개,32GB,15-17-17-35,1.35V,O,검정,RGB
56,CORSAIR,,[CORSAIR] DDR4 32G PC4-25600 CL16 VENGEANCE RGB (8G X 4),\675480,CORSAIR,3200 Mhz,DDR4,4개,32GB,16-18-18-36,1.35V,O,검정,RGB
57,CORSAIR,,[CORSAIR] DDR4 32G PC4-27700 CL16 VENGEANCE RGB (8G X 4),\696300,CORSAIR,3466 Mhz,DDR4,4개,32GB,16-18-18-36,1.35V,O,검정,RGB
58,CORSAIR,,[CORSAIR] DDR4 32G PC4-28800 CL18 VENGEANCE RGB (16G X 2),\671000,CORSAIR,3600 Mhz,DDR4,2개,32GB,18-19-19-39,1.35V,O,검정,RGB
59,CORSAIR,,[CORSAIR] DDR4 32G PC4-28800 CL18 VENGEANCE RGB (8G X 4),\655200,CORSAIR,3600 Mhz,DDR4,4개,32GB,18-19-19-39,1.35V,O,검정,RGB
60,CORSAIR,,[CORSAIR] DDR4 16G PC4-19200 CL14 VENGEANCE RGB (8G X 2),\262500,CORSAIR,2400 Mhz,DDR4,2개,16GB,14-16-16-31,1.2V,O,검정,RGB
61,CORSAIR,,[CORSAIR] DDR4 16G PC4-28800 CL18 VENGEANCE RGB (8G X 2),\284800,CORSAIR,3600 Mhz,DDR4,2개,16GB,18-19-19-39,1.35V,O,검정,RGB
62,CORSAIR,,[CORSAIR] DDR4 16G PC4-21300 CL16 VENGEANCE RGB (8G X 2),\305000,CORSAIR,2666 Mhz,DDR4,2개,16GB,16-18-18-36,1.2V,O,검정,RGB
63,CORSAIR,,[CORSAIR] DDR4 16G PC4-24000 CL15 VENGEANCE RGB (8G X 2),\314900,CORSAIR,3000 Mhz,DDR4,2개,16GB,15-17-17-35,1.35V,O,검정,RGB
64,CORSAIR,,[CORSAIR] DDR4 16G PC4-25600 CL16 VENGEANCE RGB (8G X 2),\330000,CORSAIR,3200 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,검정,RGB
65,CORSAIR,,[CORSAIR] DDR4 16G PC4-27700 CL16 VENGEANCE RGB (8G X 2),\348200,CORSAIR,3466 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,검정,RGB
66,CORSAIR,, ,,CORSAIR, ,,,,,,,,
67,CORSAIR,,[CORSAIR] DDR4 32G PC4-24000 CL15 VENGEANCE WHITE RGB (8G X 4),\640000,CORSAIR,3000 Mhz,DDR4,4개,32GB,15-17-17-35,1.35V,O,흰색,RGB
68,CORSAIR,,[CORSAIR] DDR4 32G PC4-25600 CL16 VENGEANCE WHITE RGB (16G X 2),\643800,CORSAIR,3200 Mhz,DDR4,2개,32GB,16-18-18-36,1.35V,O,흰색,RGB
69,CORSAIR,,[CORSAIR] DDR4 32G PC4-25600 CL16 VENGEANCE WHITE RGB (8G X 4),\654900,CORSAIR,3200 Mhz,DDR4,4개,32GB,16-18-18-36,1.35V,O,흰색,RGB
70,CORSAIR,,[CORSAIR] DDR4 16G PC4-24000 CL15 VENGEANCE WHITE RGB (8G X 2),\315120,CORSAIR,3000 Mhz,DDR4,2개,16GB,15-17-17-35,1.35V,O,흰색,RGB
71,CORSAIR,,[CORSAIR] DDR4 16G PC4-25600 CL16 VENGEANCE WHITE RGB (8G X 2),\347200,CORSAIR,3200 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,흰색,RGB
72,CORSAIR,,[CORSAIR] DDR4 16G PC4-28800 CL18 VENGEANCE WHITE RGB (8G X 2),\339000,CORSAIR,3600 Mhz,DDR4,2개,16GB,18-19-19-39,1.35V,O,흰색,RGB
73,,, ,,, ,,,,,,,,
74,,,-- G.SKILL --,,, ,,,,,,,,
75,,, ,,, ,DDR4,,,,,,,
76,G.SKILL,,[G.SKILL] DDR4 64G PC4-19200 CL15 TRIDENT Z RGB (8G X 8),\1118800,G.SKILL,2400 Mhz,DDR4,8개,64GB,15-15-15-35,1.2V,O,검정,RGB
77,G.SKILL,,[G.SKILL] DDR4 64G PC4-24000 CL14 TRIDENT Z RGB (8G X 8),\1368500,G.SKILL,3000 Mhz,DDR4,8개,64GB,14-14-14-34,1.35V,O,검정,RGB
78,G.SKILL,,[G.SKILL] DDR4 32G PC4-19200 CL15 TRIDENT Z RGB (16G X 2),\486400,G.SKILL,2400 Mhz,DDR4,2개,32GB,15-15-15-35,1.2V,O,검정,RGB
79,G.SKILL,,[G.SKILL] DDR4 32G PC4-19200 CL15 TRIDENT Z RGB (8G X 4),\505900,G.SKILL,2400 Mhz,DDR4,4개,32GB,15-15-15-35,1.2V,O,검정,RGB
80,G.SKILL,,[G.SKILL] DDR4 32G PC4-24000 CL14 TRIDENT Z RGB (16G X 2),\611000,G.SKILL,3000 Mhz,DDR4,2개,32GB,14-14-14-34,1.35V,O,검정,RGB
81,G.SKILL,,[G.SKILL] DDR4 32G PC4-24000 CL14 TRIDENT Z RGB (8G X 4),\701000,G.SKILL,3000 Mhz,DDR4,4개,32GB,14-14-14-34,1.35V,O,검정,RGB
82,G.SKILL,,[G.SKILL] DDR4 32G PC4-24000 CL16 TRIDENT Z RGB (8G X 4),\564200,G.SKILL,3000 Mhz,DDR4,4개,32GB,16-18-18-38,1.35V,O,검정,RGB
83,G.SKILL,,[G.SKILL] DDR4 32G PC4-25600 CL14 TRIDENT Z RGB (16G X 2),\681000,G.SKILL,3200 Mhz,DDR4,2개,32GB,14-14-14-34,1.35V,O,검정,RGB
84,G.SKILL,,[G.SKILL] DDR4 32G PC4-25600 CL14 TRIDENT Z RGB (8G X 4),\759500,G.SKILL,3200 Mhz,DDR4,4개,32GB,14-14-14-34,1.35V,O,검정,RGB
85,G.SKILL,,[G.SKILL] DDR4 32G PC4-25600 CL15 TRIDENT Z RGB (16G X 2),\650600,G.SKILL,3200 Mhz,DDR4,2개,32GB,15-15-15-35,1.35V,O,검정,RGB
86,G.SKILL,,[G.SKILL] DDR4 32G PC4-25600 CL16 TRIDENT Z RGB (8G X 4),\622600,G.SKILL,3200 Mhz,DDR4,4개,32GB,16-18-18-38,1.35V,O,검정,RGB
87,G.SKILL,,[G.SKILL] DDR4 32G PC4-26600 CL16 TRIDENT Z RGB (16G X 2),\684300,G.SKILL,3333 Mhz,DDR4,2개,32GB,16-18-18-38,1.35V,O,검정,RGB
88,G.SKILL,,[G.SKILL] DDR4 32G PC4-27700 CL16 TRIDENT Z RGB (16G X 2),\729000,G.SKILL,3466 Mhz,DDR4,2개,32GB,16-18-18-38,1.35V,O,검정,RGB
89,G.SKILL,,[G.SKILL] DDR4 32G PC4-27700 CL16 TRIDENT Z RGB (8G X 4),\758800,G.SKILL,3466 Mhz,DDR4,4개,32GB,16-18-18-38,1.35V,O,검정,RGB
90,G.SKILL,,[G.SKILL] DDR4 32G PC4-28800 CL17 TRIDENT Z RGB (16G X 2),\756800,G.SKILL,3600 Mhz,DDR4,2개,32GB,17-19-19-39,1.35V,O,검정,RGB
91,G.SKILL,,[G.SKILL] DDR4 32G PC4-30900 CL18 TRIDENT Z RGB (16G X 2),\830900,G.SKILL,3866 Mhz,DDR4,2개,32GB,18-18-18-38,1.35V,O,검정,RGB
92,G.SKILL,,[G.SKILL] DDR4 32G PC4-30900 CL18 TRIDENT Z RGB (8G X 4),\875600,G.SKILL,3866 Mhz,DDR4,4개,32GB,18-19-19-39,1.35V,O,검정,RGB
93,G.SKILL,,[G.SKILL] DDR4 16G PC4-19200 CL15 TRIDENT Z RGB (8G X 2),\251600,G.SKILL,2400 Mhz,DDR4,2개,16GB,15-15-15-35,1.35V,O,검정,RGB
94,G.SKILL,,[G.SKILL] DDR4 16G PC4-24000 CL14 TRIDENT Z RGB (8G X 2),\337290,G.SKILL,3000 Mhz,DDR4,2개,16GB,14-14-14-34,1.35V,O,검정,RGB
95,G.SKILL,,[G.SKILL] DDR4 16G PC4-24000 CL15 TRIDENT Z RGB (8G X 2),\301500,G.SKILL,3000 Mhz,DDR4,2개,16GB,15-15-15-35,1.35V,O,검정,RGB
96,G.SKILL,,[G.SKILL] DDR4 16G PC4-24000 CL16 TRIDENT Z RGB (8G X 2),\282000,G.SKILL,3000 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,검정,RGB
97,G.SKILL,,[G.SKILL] DDR4 16G PC4-25600 CL14 TRIDENT Z RGB (8G X 2),\381000,G.SKILL,3200 Mhz,DDR4,2개,16GB,14-14-14-34,1.35V,O,검정,RGB
98,G.SKILL,,[G.SKILL] DDR4 16G PC4-25600 CL16 TRIDENT Z RGB (8G X 2),\311300,G.SKILL,3200 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,검정,RGB
99,G.SKILL,,[G.SKILL] DDR4 16G PC4-27700 CL16 TRIDENT Z RGB (8G X 2),\379400,G.SKILL,3466 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,검정,RGB
100,G.SKILL,,[G.SKILL] DDR4 16G PC4-28800 CL16 TRIDENT Z RGB (8G X 2),\418300,G.SKILL,3600 Mhz,DDR4,2개,16GB,16-16-16-36,1.35V,O,검정,RGB
101,G.SKILL,,[G.SKILL] DDR4 16G PC4-28800 CL17 TRIDENT Z RGB (8G X 2),\398800,G.SKILL,3600 Mhz,DDR4,2개,16GB,17-18-18-38,1.35V,O,검정,RGB
102,G.SKILL,,[G.SKILL] DDR4 16G PC4-30900 CL18 TRIDENT Z RGB (8G X 2),\437800,G.SKILL,3866 Mhz,DDR4,2개,16GB,18-19-19-39,1.35V,O,검정,RGB
103,G.SKILL,,[G.SKILL] DDR4 16G PC4-33000 CL19 TRIDENT Z RGB (8G X 2),\457200,G.SKILL,4133 Mhz,DDR4,2개,16GB,19-19-19-39,1.35V,O,검정,RGB
104,G.SKILL,,[G.SKILL] DDR4 16G PC4-34100 CL19 TRIDENT Z RGB (8G X 2),\479000,G.SKILL,4266 Mhz,DDR4,2개,16GB,19-19-19-39,1.4V,O,검정,RGB
105,,, ,,, ,,,,,,,,
106,,,-- GeIL --,,, ,,,,,,,,
107,,, ,,, ,,,,,,,,
108,GeIL,,[GeIL] DDR4 32G PC4-19200 CL16 EVO-X GUNMETAL RYZEN RGB (16G X 2),\476530,GeIL,2400 Mhz,DDR4,2개,32GB,16-16-16-36,1.2V,O,검정,RGB
109,GeIL,,[GeIL] DDR4 32G PC4-21330 CL16 EVO-X GUNMETAL RYZEN RGB (16G X 2),\466700,GeIL,2666 Mhz,DDR4,2개,32GB,16-18-18-36,1.35V,O,검정,RGB
110,GeIL,,[GeIL] DDR4 16G PC4-19200 CL16 EVO-X GUNMETAL RYZEN RGB (8G X 2),\-,GeIL,2400 Mhz,DDR4,2개,16GB,16-16-16-36,1.2V,O,검정,RGB
111,GeIL,,[GeIL] DDR4 16G PC4-21330 CL16 EVO-X GUNMETAL RYZEN RGB (8G X 2),\243100,GeIL,2666 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,검정,RGB
112,GeIL,,[GeIL] DDR4 16G PC4-24000 CL16 EVO-X GUNMETAL RYZEN RGB (8G X 2),\262500,GeIL,3000 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,검정,RGB
113,GeIL,,[GeIL] DDR4 8G PC4-19200 CL16 EVO-X GUNMETAL RYZEN RGB (4G X 2),\-,GeIL,2400 Mhz,DDR4,2개,8GB,16-16-16-36,1.2V,O,검정,RGB
114,GeIL,, ,,GeIL, ,,,,,,,,
115,GeIL,,[GeIL] DDR4 32G PC4-19200 CL16 EVO-X WHITE RYZEN RGB (16G X 2),\476530,GeIL,2400 Mhz,DDR4,2개,32GB,16-16-16-36,1.2V,O,흰색,RGB
116,GeIL,,[GeIL] DDR4 32G PC4-21330 CL16 EVO-X WHITE RYZEN RGB (16G X 2),\471600,GeIL,2666 Mhz,DDR4,2개,32GB,16-18-18-36,1.35V,O,흰색,RGB
117,GeIL,,[GeIL] DDR4 16G PC4-21330 CL16 EVO-X WHITE RYZEN RGB (8G X 2),\471600,GeIL,2666 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,흰색,RGB
118,GeIL,,[GeIL] DDR4 16G PC4-24000 CL16 EVO-X WHITE RYZEN RGB (8G X 2),\267300,GeIL,3000 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,흰색,RGB
119,GeIL,,[GeIL] DDR4 16G PC4-25600 CL16 EVO-X WHITE RYZEN RGB (8G X 2),\-,GeIL,3200 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,흰색,RGB
120,GeIL,,[GeIL] DDR4 8G PC4-19200 CL16 EVO-X WHITE RYZEN RGB (4G X 2),\-,GeIL,2400 Mhz,DDR4,2개,8GB,16-16-16-36,1.2V,O,흰색,RGB
121,GeIL,, ,,GeIL, ,,,,,,,,
122,GeIL,,[GeIL] DDR4 16G PC4-19200 CL17 EVO-X 화이트 GREY RGB,\230500,GeIL,2400 Mhz,DDR4,1개,16GB,17-17-17-39,1.2V,O,흰색,RGB
123,GeIL,,[GeIL] DDR4 16G PC4-24000 CL15 EVO-X 화이트 GREY RGB (8G X 2),\276000,GeIL,3000 Mhz,DDR4,2개,16GB,15-17-17-35,1.35V,O,흰색,RGB
124,GeIL,,[GeIL] DDR4 16G PC4-25600 CL16 EVO-X 화이트 GREY RGB (8G X 2),\285700,GeIL,3200 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,흰색,RGB
125,GeIL,,[GeIL] DDR4 8G PC4-19200 CL17 EVO-X 화이트 GREY RGB,\117200,GeIL,2400 Mhz,DDR4,1개,8GB,17-17-17-39,1.2V,O,흰색,RGB
126,GeIL,,[GeIL] DDR4 4G PC4-19200 CL17 EVO-X 화이트 GREY RGB,\68800,GeIL,2400 Mhz,DDR4,1개,4GB,17-17-17-39,1.2V,O,흰색,RGB
127,GeIL,, ,,GeIL, ,,,,,,,,
128,GeIL,,[GeIL] DDR4 16G PC4-19200 CL17 EVO-X 블랙 RGB,\227600,GeIL,2400 Mhz,DDR4,1개,16GB,17-17-17-39,1.2V,O,검정,RGB
129,GeIL,,[GeIL] DDR4 16G PC4-24000 CL15 EVO-X 블랙 RGB (8G X 2),\271200,GeIL,3000 Mhz,DDR4,2개,16GB,15-17-17-35,1.35V,O,검정,RGB
130,GeIL,,[GeIL] DDR4 16G PC4-25600 CL16 EVO-X 블랙 RGB (8G X 2),\280900,GeIL,3200 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,검정,RGB
131,GeIL,,[GeIL] DDR4 8G PC4-19200 CL17 EVO-X 블랙 RGB,\116200,GeIL,2400 Mhz,DDR4,1개,8GB,17-17-17-39,1.2V,O,검정,RGB
132,GeIL,,[GeIL] DDR4 4G PC4-19200 CL17 EVO-X 블랙 RGB,\67800,GeIL,2400 Mhz,DDR4,1개,4GB,17-17-17-39,1.2V,O,검정,RGB
133,GeIL,, ,,GeIL, ,,,,,,,,
134,GeIL,,[GeIL] DDR4 32G PC4-24000 CL15 EVO-X ROG RGB (8G X 4),\590900,GeIL,3000 Mhz,DDR4,4개,32GB,15-15-15-36,1.35V,O,검정,RGB
135,GeIL,,[GeIL] DDR4 16G PC4-24000 CL15 EVO-X ROG RGB (8G X 2),\293000,GeIL,3000 Mhz,DDR4,2개,16GB,15-15-15-36,1.35V,O,검정,RGB
136,GeIL,, ,,GeIL, ,,,,,,,,
137,GeIL,,[GeIL] DDR4 16G PC4-17000 CL15 EVO-X RGB,\213930,GeIL,2133 Mhz,DDR4,1개,16GB,15-15-15-36,1.2V,O,검정,RGB
138,GeIL,,[GeIL] DDR4 16G PC4-19200 CL17 EVO-X RGB,\234500,GeIL,2400 Mhz,DDR4,1개,16GB,17-17-17-39,1.2V,O,검정,RGB
139,GeIL,,[GeIL] DDR4 16G PC4-24000 CL15 EVO-X RGB (8G X 2),\262500,GeIL,3000 Mhz,DDR4,2개,16GB,15-15-15-36,1.35V,O,검정,RGB
140,GeIL,,[GeIL] DDR4 16G PC4-25600 CL16 EVO-X RGB (8G X 2),\281210,GeIL,3200 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,검정,RGB
141,GeIL,,[GeIL] DDR4 8G PC4-17000 CL15 EVO-X RGB,\111700,GeIL,2133 Mhz,DDR4,1개,8GB,15-15-15-36,1.2V,O,검정,RGB
