,,,RAM 품목,가격,회사,클럭 ,램 규격,개수,용량,타이밍,전압,XMP,색깔,LED
161,GeIL,,[GeIL] DDR4 8G PC4-17000 CL15 SUPER LUCE RGB Sync 화이트,\118200,GeIL,2133 Mhz,DDR4,1개,8GB,15-17-17-35,1.2V,O,흰색,RGB
162,GeIL,,[GeIL] DDR4 8G PC4-19200 CL17 SUPER LUCE RGB Sync 화이트,\122900,GeIL,2400 Mhz,DDR4,1개,8GB,17-17-17-39,1.2V,O,흰색,RGB
163,GeIL,,[GeIL] DDR4 8G PC4-21300 CL16 SUPER LUCE RGB Sync 화이트,\132700,GeIL,3000 Mhz,DDR4,1개,8GB,16-18-18-36,1.35V,O,흰색,RGB
164,GeIL,,[GeIL] DDR4 4G PC4-17000 CL15 SUPER LUCE RGB Sync 화이트,\67800,GeIL,2133 Mhz,DDR4,1개,4GB,15-15-15-36,1.2V,O,흰색,RGB
165,GeIL,,[GeIL] DDR4 4G PC4-19200 CL17 SUPER LUCE RGB Sync 화이트,\73600,GeIL,2400 Mhz,DDR4,1개,4GB,17-17-17-39,1.2V,O,흰색,RGB
166,GeIL,, ,,GeIL, ,,,,,,,,
167,GeIL,,[GeIL] DDR4 16G PC4-17000 CL15 SUPER LUCE RGB Lite 블랙,\215900,GeIL,2133 Mhz,DDR4,1개,16GB,15-15-15-36,1.2V,O,검정,RGB
168,GeIL,,[GeIL] DDR4 16G PC4-19200 CL17 SUPER LUCE RGB Lite 블랙,\227600,GeIL,2400 Mhz,DDR4,1개,16GB,17-17-17-39,1.2V,O,검정,RGB
169,GeIL,,[GeIL] DDR4 16G PC4-24000 CL16 SUPER LUCE RGB Lite 블랙 (8G X 2),\271200,GeIL,3000 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,검정,RGB
170,GeIL,,[GeIL] DDR4 8G PC4-17000 CL15 SUPER LUCE RGB Lite 블랙,\115000,GeIL,2133 Mhz,DDR4,1개,8GB,15-15-15-36,1.2V,O,검정,RGB
171,GeIL,,[GeIL] DDR4 8G PC4-19200 CL17 SUPER LUCE RGB Lite 블랙,\116600,GeIL,2400 Mhz,DDR4,1개,8GB,17-17-17-39,1.2V,O,검정,RGB
172,GeIL,,[GeIL] DDR4 8G PC4-21300 CL16 SUPER LUCE RGB Lite 블랙,\126400,GeIL,2666 Mhz,DDR4,1개,8GB,16-18-18-36,1.35V,O,검정,RGB
173,GeIL,,[GeIL] DDR4 4G PC4-17000 CL15 SUPER LUCE RGB Lite 블랙,\63240,GeIL,2133 Mhz,DDR4,1개,4GB,15-15-15-36,1.2V,O,검정,RGB
174,GeIL,,[GeIL] DDR4 4G PC4-19200 CL17 SUPER LUCE RGB Lite 블랙,\67800,GeIL,2400 Mhz,DDR4,1개,4GB,17-17-17-39,1.2V,O,검정,RGB
175,GeIL,, ,,GeIL, ,,,,,,,,
176,GeIL,,[GeIL] DDR4 16G PC4-17000 CL15 SUPER LUCE RGB Lite 화이트,\218800,GeIL,2133 Mhz,DDR4,1개,16GB,15-15-15-36,1.2V,O,흰색,RGB
177,GeIL,,[GeIL] DDR4 16G PC4-19200 CL17 SUPER LUCE RGB Lite 화이트,\230500,GeIL,2400 Mhz,DDR4,1개,16GB,17-17-17-39,1.2V,O,흰색,RGB
178,GeIL,,[GeIL] DDR4 16G PC4-24000 CL16 SUPER LUCE RGB Lite 화이트 (8G X 2),\276000,GeIL,3000 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,흰색,RGB
179,GeIL,,[GeIL] DDR4 8G PC4-17000 CL15 SUPER LUCE RGB Lite 화이트,\113700,GeIL,2133 Mhz,DDR4,1개,8GB,15-15-15-36,1.2V,O,흰색,RGB
180,GeIL,,[GeIL] DDR4 8G PC4-19200 CL17 SUPER LUCE RGB Lite 화이트,\68800,GeIL,2400 Mhz,DDR4,1개,8GB,17-17-17-39,1.2V,O,흰색,RGB
181,GeIL,,[GeIL] DDR4 8G PC4-21300 CL16 SUPER LUCE RGB Lite 화이트,\128300,GeIL,2666 Mhz,DDR4,1개,8GB,16-18-18-36,1.35V,O,흰색,RGB
182,GeIL,,[GeIL] DDR4 4G PC4-17000 CL15 SUPER LUCE RGB Lite 화이트,\64170,GeIL,2133 Mhz,DDR4,1개,4GB,15-15-15-36,1.2V,O,흰색,RGB
183,,, ,,, ,,,,,,,,
184,,,-- TeamGroup --,,, ,,,,,,,,
185,,, ,,, ,,,,,,,,
186,TeamGroup,,[TeamGroup] T-Force DDR4 32G PC4-21300 CL15 Delta RGB (16G X 2),\541750,TeamGroup,2666 Mhz,DDR4,2개,32GB,15-17-17-35,1.2V,O,검정,RGB
187,TeamGroup,,[TeamGroup] T-Force DDR4 32G PC4-24000 CL16 Delta RGB (16G X 2),\591690,TeamGroup,3000 Mhz,DDR4,2개,32GB,16-18-18-36,1.35V,O,검정,RGB
188,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-19200 CL15 Delta RGB (8G X 2),\274470,TeamGroup,2400 Mhz,DDR4,2개,16GB,15-17-17-35,1.2V,O,검정,RGB
189,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-21300 CL15 Delta RGB (8G X 2),\279450,TeamGroup,2666 Mhz,DDR4,2개,16GB,15-17-17-35,1.2V,O,검정,RGB
190,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-24000 CL16 Delta RGB (8G X 2),\293320,TeamGroup,3000 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,검정,RGB
191,TeamGroup,,[TeamGroup] T-Force DDR4 8G PC4-19200 CL15 Delta RGB (4G X 2),\158660,TeamGroup,2400 Mhz,DDR4,2개,8GB,15-17-17-35,1.2V,O,검정,RGB
192,TeamGroup,,[TeamGroup] T-Force DDR4 8G PC4-21300 CL15 Delta RGB (4G X 2),\163690,TeamGroup,2666 Mhz,DDR4,2개,8GB,15-17-17-35,1.2V,O,검정,RGB
193,TeamGroup,, ,,TeamGroup, ,,,,,,,,
194,TeamGroup,,[TeamGroup] T-Force DDR4 32G PC4-21300 CL15 Delta RGB 화이트 (16G X 2),\545820,TeamGroup,2666 Mhz,DDR4,2개,32GB,15-17-17-35,1.2V,O,흰색,RGB
195,TeamGroup,,[TeamGroup] T-Force DDR4 32G PC4-24000 CL16 Delta RGB 화이트 (16G X 2),\565660,TeamGroup,3000 Mhz,DDR4,2개,32GB,16-18-18-36,1.2V,O,흰색,RGB
196,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-19200 CL15 Delta RGB 화이트 (8G X 2),\278450,TeamGroup,2400 Mhz,DDR4,2개,16GB,15-17-17-35,1.2V,O,흰색,RGB
197,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-21300 CL15 Delta RGB 화이트 (8G X 2),\281060,TeamGroup,2666 Mhz,DDR4,2개,16GB,15-17-17-35,1.2V,O,흰색,RGB
198,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-24000 CL16 Delta RGB 화이트 (8G X 2),\297290,TeamGroup,3000 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,흰색,RGB
199,TeamGroup,,[TeamGroup] T-Force DDR4 8G PC4-19200 CL15 Delta RGB 화이트 (4G X 2),\161410,TeamGroup,2400 Mhz,DDR4,2개,8GB,15-17-17-35,1.2V,O,흰색,RGB
200,TeamGroup,,[TeamGroup] T-Force DDR4 8G PC4-21300 CL15 Delta RGB 화이트 (4G X 2),\167680,TeamGroup,2666 Mhz,DDR4,2개,8GB,15-17-17-35,1.2V,O,흰색,RGB
201,TeamGroup,, ,,TeamGroup, ,,,,,,,,
202,TeamGroup,,[TeamGroup] T-Force DDR4 32G PC4-24000 CL16 Night Hawk RGB (16G X 2),\581520,TeamGroup,3000 Mhz,DDR4,2개,32GB,16-18-18-38,1.35V,O,검정,RGB
203,TeamGroup,,[TeamGroup] T-Force DDR4 32G PC4-25600 CL16 Night Hawk RGB (16G X 2),\601460,TeamGroup,3200 Mhz,DDR4,2개,32GB,16-18-18-38,1.35V,O,검정,RGB
204,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-24000 CL16 Night Hawk RGB (8G X 2),\324450,TeamGroup,3000 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,검정,RGB
205,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-25600 CL16 Night Hawk RGB (8G X 2),\335000,TeamGroup,3200 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,검정,RGB
206,TeamGroup,,[TeamGroup] T-Force DDR4 8G PC4-19200 CL15 Night Hawk RGB,\173000,TeamGroup,2400 Mhz,DDR4,1개,8GB,15-17-17-35,1.2V,O,검정,RGB
207,TeamGroup,, ,,TeamGroup, ,,,,,,,,
208,TeamGroup,,[TeamGroup] T-Force DDR4 32G PC4-24000 CL16 Night Hawk RGB 화이트 (16G X 2),\585590,TeamGroup,3000 Mhz,DDR4,2개,32GB,16-18-18-38,1.35V,O,흰색,RGB
209,TeamGroup,,[TeamGroup] T-Force DDR4 32G PC4-25600 CL16 Night Hawk RGB 화이트 (16G X 2),\605430,TeamGroup,3200 Mhz,DDR4,2개,32GB,16-18-18-38,1.35V,O,흰색,RGB
210,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-24000 CL16 Night Hawk RGB 화이트 (8G X 2),\328330,TeamGroup,3000 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,흰색,RGB
211,TeamGroup,,[TeamGroup] T-Force DDR4 16G PC4-25600 CL16 Night Hawk RGB 화이트 (8G X 2),\338390,TeamGroup,3200 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,흰색,RGB
212,TeamGroup,,[TeamGroup] T-Force DDR4 8G PC4-19200 CL15 Night Hawk RGB 화이트,\157000,TeamGroup,2400 Mhz,DDR4,1개,8GB,15-17-17-35,1.2V,O,흰색,RGB
213,,, ,,, ,,,,,,,,
214,,,-- 기타 --,,, ,,,,,,,,
215,,, ,,, ,,,,,,,,
216,V-Color,,[V-Color] 스카이워커 RGB DDR4 8G PC4-24000,\127560,V-Color,3000 Mhz,DDR4,1개,8GB,16-18-18-38,1.35V,O,검정,RGB
217,0,, ,,, ,,,,,,,,
218,갤럭시,,[갤럭시] GALAX GAMER 3 DDR4 16G PC4-19200 CL16 RGB (8G X 2),\270000,갤럭시,2400 Mhz,DDR4,2개,16GB,16-16-16-36,1.2V,O,검정,RGB
219,갤럭시,,[갤럭시] GALAX GAMER 3 DDR4 32G PC4-19200 CL16 RGB (8G X 4),\540000,갤럭시,2400 Mhz,DDR4,4개,32GB,16-16-16-36,1.2V,O,검정,RGB
220,갤럭시,,[갤럭시] GALAX GAMER 3 DDR4 8G PC4-19200 CL16 RGB,\107000,갤럭시,2400 Mhz,DDR4,1개,8GB,16-16-16-36,1.2V,O,검정,RGB
221,0,, ,,, ,,,,,,,,
222,Antec,,[Antec] DDR4 8G PC4-24000 CL16 Series 5 RGB,\137700,Antec,3000 Mhz,DDR4,1개,8GB,16-18-18-36,1.35V,,흰색,RGB
223,Antec,,[Antec] DDR4 8G PC4-21300 CL16 Series 5 RGB,\127820,Antec,2666 Mhz,DDR4,1개,8GB,16-18-18-35,1.2V,,흰색,RGB
224,Antec,,[Antec] DDR4 8G PC4-19200 CL16 Series 5 RGB,\123760,Antec,2400 Mhz,DDR4,1개,8GB,16-16-16-36,1.2V,,흰색,RGB
225,Antec,,[Antec] DDR4 4G PC4-19200 CL16 Series 5 RGB,\69370,Antec,2400 Mhz,DDR4,1개,4GB,16-16-16-36,1.2V,,흰색,RGB
226,0,, ,,, ,,,,,,,,
227,ESSENCORE,,[ESSENCORE] KLEVV DDR4 16G PC4-25600 CL16 CRAS II RGB (8G X 2),\284800,ESSENCORE,3200 Mhz,DDR4,2개,16GB,16-18-18-38,1.35V,O,검정,RGB
