,,,제품,가격,제조사,종류,E-ATX,ATX,m-ATX,m-ITX,측면,폭,높이,깊이,VGA 장착길이,쿨러 최대높이,외부 색깔,내부 색깔
45,빅타워,,[3RSYS] T200 발키리 NT PWM,\110700,3RSYS,빅타워,,O,O,O,아크릴,210mm,527mm,505mm,430mm,172mm,,
46,빅타워,,[3RSYS] L5000 윈도우,\129720,3RSYS,빅타워,,O,O,,아크릴,210mm,516mm,505mm,430mm,,,
47,미니타워,,[3RSYS] J300 USB3.0,\24600,3RSYS,미니타워,,,O,,,190mm,364mm,367mm,310mm,140mm,,
48,미들타워,,[3RSYS] L720 알파 이클립스 SE USB3.0,\74000,3RSYS,미들타워,,O,,,아크릴,200mm,500mm,475mm,380mm,160mm,,
49,미들타워,,[3RSYS] J200 USB3.0,\32600,3RSYS,미들타워,,O,,,아크릴,203mm,442mm,440mm,380mm,155mm,,
50,미니타워,,[3RSYS] TRUE250 USB3.0 Black,\-,3RSYS,미니타워,,,O,O,아크릴,185mm,375mm,330mm,270mm,157mm,,
51,미들타워,,[3RSYS] X210 마끼아또 SE USB3.0,\-,3RSYS,미들타워,,O,,,,260mm,420mm,355mm,290mm,125mm,,
52,미들타워,,[3RSYS] E-4 USB 3.0,\26000,3RSYS,미들타워,,O,O,,,200mm,418.5mm,413mm,350mm,152mm,,
53,미들타워,,[3RSYS] E-3 메탈릭 실버,\-,3RSYS,미들타워,,O,O,,,200mm,418.5mm,404mm,350mm,152mm,은색,
54,미들타워,,[3RSYS] E-2 USB 3.0,\19400,3RSYS,미들타워,,O,O,,,200mm,418.5mm,405mm,350mm,152mm,,
55,빅타워,,[3RSYS] L5000,\126700,3RSYS,빅타워,,O,O,,,210mm,516mm,505mm,430mm,,,
56,미니타워,,[3RSYS] R390 댄디,\25890,3RSYS,미니타워,,,O,,,180mm,373mm,404mm,330mm,,,
57,미들타워,,[3RSYS] L700 이클립스,\65850,3RSYS,미들타워,,O,O,,,195mm,470mm,492mm,410mm,,,
58,빅타워,,[3RSYS] T100 발키리,\92900,3RSYS,빅타워,,O,O,,아크릴,220mm,535mm,512mm,430mm,,,
59,미니타워,,[3RSYS] R370 메이플,\26790,3RSYS,미니타워,,,O,,,173mm,373mm,404mm,330mm,,검흰,
60,,, ,,,,,,,,,,,,,,,
61,,,-- ABKO / COX --,,,,,,,,,,,,,,,
62,,, ,,,,,,,,,,,,,,,
63,미들타워,,[COX] A3 쥬빌레 풀 아크릴 윈도우 with HALO X4 화이트,\51000,COX,미들타워,,O,O,O,아크릴,197mm,458mm,447mm,380mm,162mm,,
64,미들타워,,[COX] A3 쥬빌레 풀 아크릴 윈도우 with HALO X4 블랙,\51000,COX,미들타워,,O,O,O,아크릴,197mm,458mm,447mm,380mm,162mm,,
65,빅타워,,[COX] A9 가이아 RGB 컨트롤 3면 강화유리 HALO 140F,\123000,COX,빅타워,O,O,O,O,강화유리,249mm,512mm,504mm,420mm,180mm,,
66,빅타워,,[ABKO] SUITMASTER 810S 제로노이즈 저소음 화이트,\92500,ABKO,빅타워,O,O,O,O,,225mm,518mm,512mm,400mm,170mm,,
67,빅타워,,[ABKO] SUITMASTER 820G 크로노스 강화유리 라이저레디 화이트,\86000,ABKO,빅타워,O,O,O,O,강화유리,231mm,518mm,512mm,400mm,170mm,,
68,미들타워,,[COX] A5 오팔 2면 강화유리 롤리팝 LED 화이트,\47500,COX,미들타워,,O,O,O,강화유리,206mm,442mm,428mm,370mm,165mm,,
69,미들타워,,[COX] A5 셀레네 2면 강화유리 화이트,\49000,COX,미들타워,,O,O,O,강화유리,194mm,454mm,413mm,360mm,161mm,,
70,미들타워,,[COX] A5 셀레네 2면 강화유리 블랙,\47000,COX,미들타워,,O,O,O,강화유리,194mm,454mm,413mm,360mm,161mm,,
71,미들타워,,[ABKO] SUITMASTER 603G 아우라 RGB 컨트롤 2면 강화유리 듀얼백 with HALO DOUBLING 화이트,\113640,ABKO,미들타워,,O,O,O,강화유리,218mm,562mm,508mm,395mm,170mm,,
72,미들타워,,[ABKO] SUITMASTER 513G 이지스 RGB 컨트롤 2면 강화유리 with HALO 화이트,\76000,ABKO,미들타워,,O,O,O,강화유리,218mm,513mm,450mm,370mm,170mm,,
73,미들타워,,[COX] A5 오팔 2면 강화유리 롤리팝 LED 블랙,\46000,COX,미들타워,,O,O,O,강화유리,206mm,442mm,428mm,370mm,165mm,,
74,빅타워,,[ABKO] SUITMASTER 820G 크로노스 강화유리 라이저레디,\79000,ABKO,빅타워,O,O,O,O,강화유리,231mm,518mm,512mm,400mm,170mm,,
75,빅타워,,[ABKO] SUITMASTER 810S 제로노이즈 저소음,\84000,ABKO,빅타워,O,O,O,O,,225mm,518mm,512mm,400mm,170mm,,
76,미들타워,,[ABKO] SUITMASTER 401G 에오스 4면 강화유리 with HALO DOUBLING,\79000,ABKO,미들타워,O,O,O,O,아크릴,230mm,530mm,462mm,400mm,165mm,,
77,미들타워,,[ABKO] SUITMASTER 361G 칼리스토 2면 강화유리 with DOUBLING 화이트,\73000,ABKO,미들타워,O,O,O,O,강화유리,216mm,494mm,469mm,380mm,163mm,,
78,미들타워,,[ABKO] NCORE 빅뱅 풀아크릴윈도우,\35000,ABKO,미들타워,,O,O,O,아크릴,200mm,461mm,392mm,310mm,156mm,,
79,미들타워,,[ABKO] NCORE 카오스 풀 아크릴 & 강화유리 화이트,\35500,ABKO,미들타워,,O,O,O,아크릴,200mm,461mm,392mm,310mm,156mm,,
80,미들타워,,[ABKO] NCORE 카오스 풀 아크릴 & 강화유리 블랙,\33500,ABKO,미들타워,,O,O,O,아크릴,200mm,461mm,392mm,310mm,156mm,,
81,미들타워,,[ABKO] NCORE 팬서 풀 아크릴 윈도우 with HALO 화이트,\31500,ABKO,미들타워,,O,O,O,아크릴,198mm,440mm,432mm,365mm,158mm,,
82,미들타워,,[ABKO] NCORE 팬서 풀 아크릴 윈도우 with HALO 블랙,\31500,ABKO,미들타워,,O,O,O,아크릴,198mm,440mm,432mm,365mm,158mm,,
83,미들타워,,[ABKO] NCORE 그라시아 풀아크릴&강화유리 with HALO,\29500,ABKO,미들타워,,O,O,O,아크릴,192mm,420mm,403mm,340mm,144mm,,
84,미들타워,,[ABKO] NCORE 벨루스 USB3.0 풀 아크릴 윈도우,\26000,ABKO,미들타워,,O,O,O,아크릴,1912mm,420mm,397mm,340mm,144mm,,
85,미들타워,,[ABKO] SUITMASTER 362A 아도니스 알루미늄 & 강화유리 with DOUBLING,\68000,ABKO,미들타워,O,O,O,O,강화유리,216mm,494mm,469mm,380mm,163mm,,
86,미들타워,,[ABKO] SUITMASTER 515G 팔콘 RGB 컨트롤 4면 강화유리 with HALO,\97000,ABKO,미들타워,,O,O,O,강화유리,223mm,530mm,449mm,370mm,170mm,,
87,미들타워,,[ABKO] SUITMASTER 605G 허블 RGB 컨트롤 4면 강화유리 듀얼백 with HALO DOUBLING,\167990,ABKO,미들타워,,O,O,O,강화유리,230mm,581mm,484mm,395mm,170mm,,
88,미들타워,,[ABKO] NCORE 아수라 USB3.0 풀 아크릴 윈도우 화이트,\37500,ABKO,미들타워,,O,O,O,아크릴,194mm,491mm,436mm,370mm,159mm,,
89,미들타워,,[ABKO] SUITMASTER 513G 이지스 RGB 컨트롤 2면 강화유리 with HALO,\69000,ABKO,미들타워,,O,O,O,강화유리,218mm,513mm,450mm,370mm,170mm,,
90,미들타워,,[ABKO] SUITMASTER 603G 아우라 RGB 컨트롤 2면 강화유리 듀얼백 with HALO DOUBLING,\108000,ABKO,미들타워,,O,O,O,강화유리,218mm,562mm,508mm,395mm,170mm,,
91,빅타워,,[ABKO] NCORE 아레스 USB3.0 4면 풀 아크릴 윈도우 with HALO,\69000,ABKO,빅타워,O,O,O,O,아크릴,230mm,545mm,470mm,380mm,165mm,흰색,흰색
92,미들타워,,[ABKO] NCORE 타나토스 USB3.0 풀 아크릴 윈도우,\25000,ABKO,미들타워,,O,O,O,아크릴,198mm,463mm,425mm,365mm,158mm,,
93,미들타워,,[COX] A3 캐논 PC방,\16060,COX,미들타워,,O,O,,아크릴,180mm,424mm,372mm,320mm,160mm,,
94,미들타워,,[ABKO] SUITMASTER 511S 크로우 RGB 컨트롤 강화유리 with HALO,\50000,ABKO,미들타워,,O,O,O,강화유리,218mm,512mm,465mm,370mm,170mm,,
95,미들타워,,[ABKO] SUITMASTER 601S 타이탄 RGB 컨트롤 강화유리 듀얼백 with HALO,\78740,ABKO,미들타워,,O,O,O,강화유리,218mm,560mm,485mm,395mm,170mm,,
96,빅타워,,[ABKO] SUITMASTER 701S 튠업 강화유리 with HALO 화이트,\89000,ABKO,빅타워,O,O,O,O,강화유리,220mm,505mm,465mm,400mm,165mm,흰색,흰색
97,빅타워,,[ABKO] SUITMASTER 730AL 알루미늄 RGB 컨트롤 with HALO DOUBLING,\195500,ABKO,빅타워,O,O,O,O,강화유리,225mm,518mm,478mm,395mm,165mm,,
98,미들타워,,[ABKO] NCORE 쿨맥스 USB3.0 풀 아크릴 윈도우 화이트,\31000,ABKO,미들타워,,O,O,O,아크릴,193mm,427mm,419mm,365mm,165mm,흰색,
99,미들타워,,[ABKO] NCORE 포세이돈 USB3.0 풀 아크릴 윈도우 화이트,\31000,ABKO,미들타워,,O,O,,아크릴,193mm,427mm,419mm,365mm,165mm,흰색,
100,빅타워,,[ABKO] SUITMASTER 701S 튠업 강화유리 with HALO 블랙,\83000,ABKO,빅타워,O,O,O,O,강화유리,220mm,505mm,465mm,400mm,165mm,,
101,미들타워,,[ABKO] SUITMASTER 350S 강화유리 with HALO 화이트,\58000,ABKO,미들타워,O,O,O,O,강화유리,212mm,503mm,448mm,385mm,162mm,흰색,흰색
102,미들타워,,[ABKO] NCORE 쿨맥스 USB3.0 풀 아크릴 윈도우,\29000,ABKO,미들타워,,O,O,,아크릴,193mm,427mm,419mm,365mm,165mm,,
103,미들타워,,[ABKO] NCORE 포세이돈 USB3.0 풀 아크릴 윈도우,\29000,ABKO,미들타워,,O,O,,아크릴,193mm,427mm,419mm,365mm,165mm,,
104,미들타워,,[ABKO] NCORE 배럭 PC방,\17000,ABKO,미들타워,,O,O,,,180mm,416mm,367mm,325mm,150mm,,
105,빅타워,,[ABKO] SUITMASTER 801G RGB 컨트롤 3면 강화유리 with HALO DOUBLING 화이트,\167000,ABKO,빅타워,O,O,O,O,강화유리,250mm,502mm,530mm,450mm,180mm,흰색,흰색
