,,,제품,단가,제조사,모델명,용량,버퍼용량,회전수,용량/플래터,"인터
페이스",기타
65,Hitachi,,[Hitachi] HGST 2TB Deskstar,\228890,Hitachi,HDS723020BLA642,2TB,64M,7200,600GB,SATA3,
66,Hitachi,,[Hitachi] HGST 3TB Deskstar NAS,\134300,Hitachi,HDN724030ALE640,3TB,64M,7200,600GB,SATA3,
67,Hitachi,,[Hitachi] HGST 4TB Deskstar,\190000,Hitachi,HDS724040ALE640,4TB,64M,7200,800GB,SATA3,
68,Hitachi,,[Hitachi] HGST 4TB Deskstar NAS,\181750,Hitachi,HDN724040ALE640,4TB,64M,7200,800GB,SATA3,
69,Hitachi,,[Hitachi] HGST 5TB Deskstar NAS,\240000,Hitachi,HDN726050ALE610,5TB,128M,7200,1TB,SATA3,
70,Hitachi,,[Hitachi] HGST 6TB Deskstar NAS,\338990,Hitachi,HDN726060ALE610,6TB,128M,7200,1.2TB,SATA3,
71,Hitachi,, ,,Hitachi,,,,,,,
72,Hitachi,,[Hitachi] HGST 2TB Ultrastar 7K4000,\172000,Hitachi,HUS722T2TALA604,2TB,64M,7200,400GB,SATA3,서버용
73,Hitachi,,[Hitachi] HGST 3TB Ultrastar 7K4000,\226150,Hitachi,HUS724030ALA640,3TB,64M,7200,600GB,SATA3,
74,Hitachi,,[Hitachi] HGST 4TB Ultrastar 7K4000,\245000,Hitachi,HUS724040ALA640,4TB,64M,7200,800GB,SATA3,
75,Hitachi,,[Hitachi] HGST 5TB Ultrastar 7K6000,\303500,Hitachi,HUS726050ALE614,5TB,128M,7200,1TB,SATA3,
76,Hitachi,,[Hitachi] HGST 6TB Ultrastar 7K6000,\353000,Hitachi,HUS726060ALE614,6TB,128M,7200,1.2TB,SATA3,
77,Hitachi,,[Hitachi] HGST 6TB Ultrastar He8,\402000,Hitachi,HUH728060ALE600,6TB,128M,7200,1.2TB,SATA3,
78,Hitachi,,[Hitachi] HGST 8TB Ultrastar He8,\500000,Hitachi,HUH728080ALE600,8TB,128M,7200,1.2TB,SATA3,
79,,, ,,,,,,,,,
,,, ,,,,,,,,,
