,,,제품,가격,회사,파워 규격,정격 용량,액티브 PFC,레일,+12V 전류,4핀 IDE,SATA,PCI-E (6),PCI-E(6+2),Reform 케이블,모듈러,대기전력 1W,플랫 케이블,프리볼트,80 PLUS,깊이,무상 A/S (/유상)
188,200,,[모드컴] ITX 200W DC (단품 산업용),\44000,모드컴,DC to DC,200W,,,9,1,1,,,,,,,,,,
189,,, ,,,,,,,,,,,,,,,,,,,
190,,,-- 시소닉 --,,,,,,,,,,,,,,,,,,,
191,,, ,,,,,,,,,,,,,,,,,,,
192,700,,[시소닉] FOCUS PLUS Gold SSR-750FX Full Modular,\139500,시소닉,ATX,750W,O,싱글,62,3,8,,4,O,O,O,O,O,골드,140,10
193,800,,[시소닉] FOCUS PLUS Gold SSR-850FX Full Modular,\147000,시소닉,ATX,850W,O,싱글,70,5,10,,6,O,O,O,O,O,골드,140,10
194,1000,,[시소닉] FOCUS PLUS Gold SSR-1000FX Full Modular,\219300,시소닉,ATX,1000W,O,싱글,83,5,10,,6,O,O,O,O,O,골드,140,10
195,600,,[시소닉] FOCUS PLUS Gold SSR-650FX Full Modular,\114000,시소닉,ATX,650W,O,싱글,54,3,8,,4,O,O,O,O,O,골드,140,10
196,500,,[시소닉] HYDANCE HY-500CT Active PFC 80PLUS BRONZE,\60000,시소닉,ATX,500W,O,다중,20/20,3,4,,2,,,,,,브론즈,140,3
197,600,,[시소닉] HYDANCE HY-600CT Active PFC 80PLUS BRONZE,\69000,시소닉,ATX,600W,O,다중,13/13/16/15,3,4,,2,,,,,,브론즈,140,3
198,600,,[시소닉] M12II-620 EVO 80PLUS 브론즈,\77400,시소닉,ATX,620W,O,다중,24/24,5,8,,4,,풀,,O,,브론즈,160,5
199,1000,,[시소닉] P-1050 80PLUS PLATINUM,\425000,시소닉,ATX,1050W,O,싱글,87,5,14,,8,,풀,,O,O,플래티넘,190,7
200,1000,,[시소닉] P-1050 80PLUS PLATINUM SnowSilent,\425000,시소닉,ATX,1050W,O,싱글,87,5,14,,8,,풀,,O,O,플래티넘,190,7
201,500,,[시소닉] P-520 Fanless 80PLUS PLATINUM (2세대),\262000,시소닉,ATX,520W,O,싱글,43,5,6,,2,,풀,O,O,O,플래티넘,160,7
202,600,,[시소닉] P-660 80PLUS PLATINUM (2세대),\292990,시소닉,ATX,660W,O,싱글,55,5,10,,4,,풀,O,O,O,플래티넘,160,7
203,700,,[시소닉] P-760 80PLUS PLATINUM (2세대),\346000,시소닉,ATX,760W,O,싱글,63,5,10,,4,,풀,O,O,O,플래티넘,160,7
204,800,,[시소닉] P-860 80PLUS PLATINUM (2세대),\401990,시소닉,ATX,860W,O,싱글,71,5,10,,4,,,O,O,O,플래티넘,160,7
205,1000,,[시소닉] PRIME 1300 Platinum SSR-1300PD Full Modular,\390500,시소닉,ATX,1320W,O,싱글,108,5,12,,12,O,O,O,O,O,플래티넘,170,12
206,600,,[시소닉] PRIME 600 Titanium Fanless SSR-600TL Full Modular,\296900,시소닉,ATX,600W,O,싱글,50,5,6,,4,O,O,O,O,O,티타늄,170,12
207,1000,,[시소닉] PRIME Ultra Platinum SSR-1000PD Full Modular,\300000,시소닉,ATX,1000W,O,싱글,83,5,12,,8,O,O,O,O,O,플래티넘,170,12
208,800,,[시소닉] PRIME Ultra Platinum SSR-850PD Full Modular,\269300,시소닉,ATX,850W,O,싱글,70,5,10,,6,O,O,O,O,O,플래티넘,170,12
209,800,,[시소닉] PRIME Ultra Titanium SSR-850TR Full Modular,\309920,시소닉,ATX,850W,O,싱글,70,5,10,,6,O,O,O,O,O,티타늄,170,12
210,1000,,[시소닉] PRIME Ultra Titanium SSR-1000TR Full Modular,\374000,시소닉,ATX,1000W,O,싱글,83,5,14,,8,O,O,O,O,O,티타늄,170,12
211,1000,,[시소닉] X-1250 80PLUS GOLD,\449000,시소닉,ATX,1250W,O,싱글,104,8,11,,8,O,풀,O,,,골드,190,5
212,1000,,[시소닉] X-1250 80PLUS GOLD (2세대),\434500,시소닉,ATX,1250W,O,싱글,104,2,4,,5,,풀,,O,O,골드,190,7
213,600,,[시소닉] X-650 80PLUS GOLD (3세대),\218000,시소닉,ATX,650W,O,싱글,62,5,10,,4,,풀,O,O,O,골드,160,7
214,700,,[시소닉] X-750 80PLUS GOLD (3세대),\264900,시소닉,ATX,750W,O,싱글,62,5,10,,6,,풀,O,O,O,골드,160,7
215,800,,[시소닉] X-850 80PLUS GOLD (3세대),\319990,시소닉,ATX,850W,O,싱글,62,5,10,,6,,풀,O,O,O,골드,160,7
216,,, ,,,,,,,,,,,,,,,,,,,
217,,,-- 잘만 --,,,,,,,,,,,,,,,,,,,
218,,, ,,,,,,,,,,,,,,,,,,,
219,400,,[잘만] Wattbit 400W 83+,\31600,잘만,ATX,400W,,다중,17/14,3,4,2,,O,,O,,,,140,3
220,500,,[잘만] Wattbit 500W 83+,\36900,잘만,ATX,500W,,다중,20/20,3,4,,2,O,,O,,,,140,3
221,600,,[잘만] Wattbit 600W 83+,\42200,잘만,ATX,600W,,다중,25/25,3,4,,2,O,,O,,,,140,3
222,1000,,[잘만] ZM1000-EBT 80PLUS GOLD,\223000,잘만,ATX,1000W,O,싱글,83.4,8,12,,6,O,풀,O,O,O,골드,180,5
223,400,,[잘만] ZM350-FX 80PLUS BRONZE,\53200,잘만,SFX,450W,O,싱글,36,2,3,1,1,,,O,,O,브론즈,100,3
224,400,,[잘만] ZM400-LEII,\32500,잘만,ATX,400W,,다중,17/14,3,4,2,,O,,O,,,,140,3
225,500,,[잘만] ZM500-GVM 500W 80 PLUS BRONZE,\59300,잘만,ATX,500W,O,싱글,37.5,3,5,,2,O,세미,O,O,O,브론즈,140,5
226,500,,[잘만] ZM500-LEII,\39490,잘만,ATX,500W,,다중,20/20,3,6,,2,O,,O,,,,140,3
227,500,,[잘만] ZM500-TX 80Plus 230V EU,\43200,잘만,ATX,500W,O,싱글,40,3,5,,2,,,O,O,,스탠다드,157,3/2
228,600,,[잘만] ZM600-GVM 600W 80 PLUS BRONZE,\80000,잘만,ATX,600W,O,싱글,45,4,6,,2,O,세미,O,O,O,브론즈,140,5
229,600,,[잘만] ZM600-LEII,\45000,잘만,ATX,600W,,다중,28/28,3,6,,2,O,,O,,,,140,3
230,600,,[잘만] ZM600-TX 80Plus 230V EU,\51800,잘만,ATX,600W,O,싱글,48,3,5,,2,,,O,O,,스탠다드,157,3/2
231,600,,[잘만] ZM650-EBT 80PLUS GOLD,\119000,잘만,ATX,650W,O,싱글,54.2,6,8,,4,O,풀,O,O,O,골드,160,5
232,600,,[잘만] ZM650-XG,\84100,잘만,ATX,650W,O,싱글,54,6,6,,4,O,세미,,,,골드,180,3/2
233,700,,[잘만] ZM700-GVM 700W 80 PLUS BRONZE,\95000,잘만,ATX,700W,O,싱글,52.5,4,6,,4,O,세미,O,O,O,브론즈,140,5
234,700,,[잘만] ZM700-LEII,\88830,잘만,ATX,700W,,다중,30/30,3,6,,4,O,,O,,,,140,3
235,700,,[잘만] ZM700-LX 80PLUS STANDARD,\58000,잘만,ATX,700W,O,싱글,58,6,6,,4,O,,O,,,스탠다드,160,3/2
236,700,,[잘만] ZM700-TX 80Plus 230V EU,\60000,잘만,ATX,700W,O,싱글,58,3,5,,4,,,O,O,,스탠다드,157,3/2
237,700,,[잘만] ZM750-ARX 80PLUS PLATINUM,\211000,잘만,ATX,750W,O,싱글,62,6,12,,4,,풀,O,O,O,플래티넘,180,7
238,700,,[잘만] ZM750-EBT 80PLUS GOLD,\138200,잘만,ATX,750W,O,싱글,62.5/62.5,6,8,,4,O,풀,O,O,O,골드,160,5
239,800,,[잘만] ZM850-ARX 80PLUS PLATINUM,\240000,잘만,ATX,850W,O,싱글,70,8,12,,6,,풀,O,O,O,플래티넘,180,7
240,600,,[잘만] ZM850-EBT 80PLUS GOLD,\181000,잘만,ATX,650W,O,싱글,70.5,8,12,,6,O,풀,O,O,O,골드,180,5
241,,, ,,,,,,,,,,,,,,,,,,,
242,,,-- 쿨러마스터 --,,,,,,,,,,,,,,,,,,,
243,,, ,,,,,,,,,,,,,,,,,,,
244,500,,[쿨러마스터] Elite V3 230V 500W,\33280,쿨러마스터,ATX,500W,O,싱글,38,3,6,,2,,,,,,,140,3
245,600,,[쿨러마스터] Elite V3 230V 600W,\41600,쿨러마스터,ATX,600W,O,싱글,46,3,6,,2,,,,,,,140,3
246,1000,,[쿨러마스터] MasterWatt 1500W 80PLUS TITANIUM,\612000,쿨러마스터,ATX,1500W,O,다중,62.5/62.5,12,20,,12,,풀,O,O,O,티타늄,200,7
247,600,,[쿨러마스터] MasterWatt Lite 600 80PLUS Standard 230V EU,\51660,쿨러마스터,ATX,600W,O,싱글,46,3,6,,2,,,,,,스탠다드,140,5
248,700,,[쿨러마스터] MasterWatt Lite 700 80PLUS Standard 230V EU,\64880,쿨러마스터,ATX,700W,O,싱글,54,3,6,,4,,,,,,스탠다드,140,5
249,700,,[쿨러마스터] MWE GOLD 750 FULL MODULAR,\98800,쿨러마스터,ATX,750W,O,싱글,62.5/62.5,6,8,,4,,풀,O,,O,골드,160,5
250,600,,[쿨러마스터] MWE GOLD 650 FULL MODULAR,\88400,쿨러마스터,ATX,650W,O,싱글,54.1,6,8,,4,,풀,O,,O,골드,160,5
251,400,,[쿨러마스터] MWE 400W 80PLUS Standard 230V EU,\36500,쿨러마스터,ATX,400W,O,싱글,30,4,3,,2,O,,O,,,스탠다드,150,5
252,500,,[쿨러마스터] MWE 500W 80PLUS Standard EU,\40800,쿨러마스터,ATX,500W,O,싱글,38,3,6,,2,,,,,,스탠다드,140,5
253,500,,[쿨러마스터] MWE 550 80PLUS BRONZE 프리볼트,\53770,쿨러마스터,ATX,550W,O,싱글,43,3,4,,2,,,,,O,브론즈,140,5
254,600,,[쿨러마스터] MWE 650 80PLUS BRONZE 프리볼트,\65900,쿨러마스터,ATX,650W,O,싱글,54,4,8,,4,,,,,O,브론즈,140,5
255,1000,,[쿨러마스터] V1000,\248410,쿨러마스터,ATX,1000W,O,싱글,83,4,9,,8,,풀,,,O,골드,170,
256,1000,,[쿨러마스터] V1200 PLATINUM,\335000,쿨러마스터,ATX,1200W,O,싱글,100,9,12,,12,,풀,,,O,플래티넘,190,7
257,,, ,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,
