,,,제품,가격,회사,파워 규격,정격 용량,액티브 PFC,레일,+12V 전류,4핀 IDE,SATA,PCI-E (6),PCI-E(6+2),Reform 케이블,모듈러,대기전력 1W,플랫 케이블,프리볼트,80 PLUS,깊이,무상 A/S (/유상)
44,700,,[CORSAIR] RM750x WHITE 80PLUS GOLD,\234000,CORSAIR,ATX,750W,O,싱글,62.5/62.5,4,8,,4,,풀,,,O,골드,180,10
45,800,,[CORSAIR] RM850i 80PLUS GOLD,\242000,CORSAIR,ATX,850W,O,싱글,70.8,8,10,,5,,풀,,O,O,골드,180,7
46,800,,[CORSAIR] RM850x 80PLUS GOLD,\216000,CORSAIR,ATX,850W,O,싱글,70.8,4,6,,2,,풀,,O,O,골드,180,7
47,800,,[CORSAIR] RM850x WHITE 80PLUS GOLD,\260310,CORSAIR,ATX,850W,O,싱글,70.8,8,12,,6,,풀,,,O,골드,180,10
48,400,,[CORSAIR] SF450 80PLUS GOLD,\145000,CORSAIR,SFX,450W,O,싱글,37.5,4,4,,2,,풀,,O,O,골드,125,7
49,500,,[CORSAIR] TX550M 80PLUS GOLD,\113870,CORSAIR,ATX,550W,O,싱글,43,4,5,,2,,세미,,O,O,골드,140,7
50,600,,[CORSAIR] TX650M 80PLUS GOLD,\148760,CORSAIR,ATX,650W,O,싱글,51,4,6,,4,,세미,,O,O,골드,140,7
51,700,,[CORSAIR] TX750M 80PLUS GOLD,\166310,CORSAIR,ATX,750W,O,싱글,62,7,8,,4,,세미,,O,O,골드,140,7
52,800,,[CORSAIR] TX850M 80PLUS GOLD,\230290,CORSAIR,ATX,850W,,싱글,70.8,8,8,,4,,세미,,O,,골드,160,7
53,500,,[CORSAIR] VS550 80PLUS STANDARD,\50500,CORSAIR,ATX,550W,O,싱글,42,4,4,,2,O,,,,,스탠다드,140,3
54,600,,[CORSAIR] VS650 80PLUS STANDARD,\75050,CORSAIR,ATX,650W,O,싱글,50,4,4,,2,O,,,,,스탠다드,140,3
55,,, ,,,,,,,,,,,,,,,,,,,
56,,,-- EVGA --,,,,,,,,,,,,,,,,,,,
57,,, ,,,,,,,,,,,,,,,,,,,
