,,,System Cooler,가격,제조사,팬 크기,두께,베어링,커넥터 핀,최소 회전,최대 회전,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,날개 색,본체 색,LED 색,발광 부분,보증 기간
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,,
39,140,,[DEEPCOOL] RF140 RGB 아우라 싱크 PWM BRAVOTEC (2PACK),\49000,DEEPCOOL,140mm,26T,Hydro,4핀,500rpm,1200rpm,,64.13CFM,,,19.8dBA,24dBA,투명,검정,RGB (MB),팬,1년
40,140,,[DEEPCOOL] RF140 RGB 아우라 싱크 PWM BRAVOTEC (1PACK),\24000,DEEPCOOL,140mm,26T,Hydro,4핀,500rpm,1200rpm,,64.13CFM,,,19.8dBA,24dBA,투명,검정,RGB (MB),팬,1년
41,140,, ,,,140mm,,,,,,,,,,,,,,,,
42,140,,[Fractal Design] Dynamic X2 GP-14B,\19480,Fractal Design,140mm,25T,LLS,3핀,,1000rpm,,68.4CFM,,0.71mmH2O,,18.9dBA,검정,검정,,,2년
43,140,,[Fractal Design] Dynamic X2 GP-14W,\19470,Fractal Design,140mm,25T,LLS,3핀,,1000rpm,,68.4CFM,,0.71mmH2O,,18.9dBA,흰색,검정,,,2년
44,140,,[Fractal Design] Venturi Series HP-14 PWM,\26800,Fractal Design,140mm,25T,FDB,4핀,,1500rpm,,78.1CFM,,1.94mmH2O,,30.1dBA,검정,검정,,,2년
45,140,,[Fractal Design] Venturi Series HP-14,\24740,Fractal Design,140mm,25T,FDB,3핀,,1200rpm,,118.2CFM,,0.95mmH2O,,26.5dBA,검정,검정,,,2년
46,140,,[Fractal Design] Dynamic GP-14K,,Fractal Design,140mm,25T,Hydraulic,3핀,,1000rpm,,68.4CFM,,0.71mmH2O,,18.9dBA,검정,검정,,,2년
47,140,,[Fractal Design] Dynamic GP-14W,,Fractal Design,140mm,25T,Hydraulic,3핀,,1000rpm,,68.4CFM,,0.71mmH2O,,18.9dBA,흰색,검정,,,2년
48,140,, ,,,140mm,,,,,,,,,,,,,,,,
49,140,,[ID-COOLING] WF-14025,\8590,ID-COOLING,140mm,25T,,4핀,800rpm,1600rpm,,76.8CFM,,2.14mmH2O,16.8dBA,32.6dBA,흰색,검정,,,
50,140,,[ID-COOLING] CF-14025 WHITE LED PWM 3RSYS,\16300,ID-COOLING,140mm,25T,Hydraulic,4핀,200rpm,1300rpm,,65.5CFM,,1.82mmH2O,12.1dBA,24.2dBA,검정,검정,흰색,링,0.5년
51,140,,[ID-COOLING] CF-14025 RED LED PWM 3RSYS,\16330,ID-COOLING,140mm,25T,Hydraulic,4핀,200rpm,1300rpm,,65.5CFM,,1.82mmH2O,12.1dBA,24.2dBA,검정,검정,빨강,링,0.5년
52,140,,[ID-COOLING] CF-14025 GREEN LED PWM 3RSYS,\16330,ID-COOLING,140mm,25T,Hydraulic,4핀,200rpm,1300rpm,,65.5CFM,,1.82mmH2O,12.1dBA,24.2dBA,검정,검정,녹색,링,0.5년
53,140,,[ID-COOLING] CF-14025 BLUE LED PWM 3RSYS,\16330,ID-COOLING,140mm,25T,Hydraulic,4핀,200rpm,1300rpm,,65.5CFM,,1.82mmH2O,12.1dBA,24.2dBA,검정,검정,파랑,링,0.5년
54,140,, ,,,140mm,,,,,,,,,,,,,,,,
55,140,,[NOCTUA] NF-A14 PWM chromax black swap,\30810,NOCTUA,140mm,25T,SSO2,4핀,,1500rpm,,82.5CFM,,2.08mmH2O,,24.6dBA,검정,검정,,,
56,140,,[NOCTUA] NF-A15 HS-PWM chromax black swap,\32320,NOCTUA,140mm,25T,SSO2,4핀,,1500rpm,,82.5CFM,,2.08mmH2O,,24.6dBA,검정,검정,,,
57,140,,[NOCTUA] NF-A14 IndustrialPPC-24V-3000 PWM IP67,\37700,NOCTUA,140mm,25T,SSO2,4핀,,3000rpm,,158.4CFM,,10.52mmH2O,,41.3dBA,검정,검정,,,
58,140,,[NOCTUA] NF-A14 IndustrialPPC-2000 PWM IP67,\37290,NOCTUA,140mm,25T,SSO2,4핀,,2000rpm,,107.4CFM,,4.18mmH2O,,31.5dBA,검정,검정,,,
59,140,,[NOCTUA] NF-P14s redux-1200 PWM,\20500,NOCTUA,140mm,25T,SSO,4핀,,1200rpm,,64.9CFM,,1.29mmH2O,,19.6dBA,회색,회색,,,
60,140,,[NOCTUA] NF-P14s redux-1200,\20710,NOCTUA,140mm,25T,SSO,3핀,,1200rpm,,64.9CFM,,1.29mmH2O,,19.6dBA,회색,회색,,,
61,140,,[NOCTUA] NF-P14s redux-900,\21000,NOCTUA,140mm,25T,SSO,3핀,,900rpm,,49.2CFM,,1.29mmH2O,,13.2dBA,회색,회색,,,
62,140,,[NOCTUA] NF-A14 IndustrialPPC-3000 PWM,\32500,NOCTUA,140mm,25T,SSO2,4핀,,3000rpm,,158.4CFM,,10.52mmH2O,,41.3dBA,검정,검정,,,
63,140,,[NOCTUA] NF-A14 IndustrialPPC-2000,\32500,NOCTUA,140mm,25T,SSO2,3핀,,2000rpm,,107.4CFM,,4.18mmH2O,,31.5dBA,검정,검정,,,
64,140,,[NOCTUA] NF-A14 PWM,\27900,NOCTUA,140mm,25T,SSO2,4핀,,1500rpm,,82.5CFM,,2.08mmH2O,,24.6dBA,갈색,살색,,,
65,140,,[NOCTUA] NF-A14 ULN,\27160,NOCTUA,140mm,25T,2볼,3핀,,800rpm,,46.4CFM,,0.69mmH2O,,11.9dBA,갈색,살색,,,
66,140,,[NOCTUA] NF-A14 FLX,\27900,NOCTUA,140mm,25T,2볼,3핀,,1200rpm,,67.9CFM,,1.51mmH2O,,19.2dBA,갈색,살색,,,
67,140,,[NOCTUA] NF-A15 PWM,\28200,NOCTUA,140mm,25T,SSO2,4핀,,1200rpm,,67.9CFM,,1.51mmH2O,,19.2dBA,갈색,살색,,,
68,140,, ,,,140mm,,,,,,,,,,,,,,,,
69,140,,[NZXT] AER RGB 140 트리플 패키지 BRAVOTEC,\138000,NZXT,140mm,25T,유체,4핀,500rpm,1500rpm,30.39CFM,91.19CFM,0.17mmH2O,1.52mmH2O,22dBA,33dBA,검정,검정,RGB (Cont),링,2년
70,140,,[NZXT] AER RGB 140 스타터 킷 패키지 BRAVOTEC,\138000,NZXT,140mm,25T,유체,4핀,500rpm,1500rpm,30.39CFM,91.19CFM,0.17mmH2O,1.52mmH2O,22dBA,33dBA,검정,검정,RGB (Cont),링,2년
