,,,SSD 제품,가격,제조사,용량,폼팩터,전송방식,저장 방식,컨트롤러,읽기 속도,쓰기 속도,TRIM,GC,S.M.A.R.T,ECC,DEVSLP,SLC 캐싱,두께,A/S,
43,삼성,,[삼성] 860 EVO mSATA 250GB,\109710,삼성,250GB,mSATA,SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,3.85mm,5년,
44,삼성,,[삼성] 860 EVO mSATA 500GB,\189700,삼성,500GB,mSATA,SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,3.85mm,5년,
45,삼성,,[삼성] 860 EVO M.2 2280 250GB,\114170,삼성,250GB,M.2 2280,SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,2.38mm,5년,
46,삼성,,[삼성] 860 EVO M.2 2280 500GB,\193500,삼성,500GB,M.2 2280,SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,2.38mm,5년,
47,삼성,,[삼성] 860 EVO M.2 2280 1TB,\394400,삼성,1000GB,M.2 2280,SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,2.38mm,5년,
48,삼성,,[삼성] 860 EVO 250GB,\94400,삼성,250GB,2.5",SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,6.8mm,5년,
49,삼성,,[삼성] 860 EVO 500GB,\184000,삼성,500GB,2.5",SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,6.8mm,5년,
50,삼성,,[삼성] 860 EVO 1TB,\370900,삼성,1000GB,2.5",SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,6.8mm,5년,
51,삼성,,[삼성] 860 EVO 2TB,\751900,삼성,2000GB,2.5",SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,6.8mm,5년,
52,삼성,,[삼성] 860 EVO 4TB,\1699900,삼성,4000GB,2.5",SATA3,3D TLC,삼성 MJX,550MB/s,520MB/s,O,O,O,O,,,6.8mm,5년,
53,삼성,,[삼성] 860 PRO 256GB,\143500,삼성,256GB,2.5",SATA3,3D TLC,삼성 MJX,560MB/s,530MB/s,O,O,O,O,,,62mm,5년,
54,삼성,,[삼성] 860 PRO 512GB,\255000,삼성,512GB,2.5",SATA3,3D TLC,삼성 MJX,560MB/s,530MB/s,O,O,O,O,,,62mm,5년,
55,삼성,,[삼성] 860 PRO 1TB,\539460,삼성,1024GB,2.5",SATA3,3D TLC,삼성 MJX,560MB/s,530MB/s,O,O,O,O,,,62mm,5년,
56,삼성,,[삼성] 860 PRO 2TB,\1130430,삼성,2048GB,2.5",SATA3,3D TLC,삼성 MJX,560MB/s,530MB/s,O,O,O,O,,,62mm,5년,
57,삼성,,[삼성] 850 EVO SATA3,\54500,삼성,120GB,2.5",SATA3,3D TLC,삼성 MGX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,6.8mm,3년,
58,삼성,,[삼성] 850 EVO 120GB,\72430,삼성,120GB,2.5",SATA3,3D TLC,삼성 MHX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,6.8mm,5년,
59,삼성,,[삼성] 850 EVO 250GB,\95800,삼성,250GB,2.5",SATA3,3D TLC,삼성 MHX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,6.8mm,5년,
60,삼성,,[삼성] 850 EVO 500GB,\171900,삼성,500GB,2.5",SATA3,3D TLC,삼성 MHX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,6.8mm,5년,
61,삼성,,[삼성] 850 EVO 1TB,\396140,삼성,1000GB,2.5",SATA3,3D TLC,삼성 MHX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,6.8mm,5년,
62,삼성,,[삼성] 850 EVO 2TB,\772840,삼성,2000GB,2.5",SATA3,3D TLC,삼성 MHX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,6.8mm,5년,
63,삼성,,[삼성] 850 EVO 4TB,\1763120,삼성,4000GB,2.5",SATA3,3D TLC,삼성 MHX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,6.8mm,5년,
64,삼성,,[삼성] 970 EVO M.2 2280 250GB,\176800,삼성,250GB,M.2 2280,NVMe 1.3,3D TLC,삼성 Phoenix,3400MB/s,1500MB/s,O,O,O,,O,,2.38mm,5년,
65,삼성,,[삼성] 970 EVO M.2 2280 500GB,\356470,삼성,500GB,M.2 2280,NVMe 1.3,3D TLC,삼성 Phoenix,3400MB/s,2300MB/s,O,O,O,,O,,2.38mm,5년,
66,삼성,,[삼성] 970 EVO M.2 2280 1TB,\649000,삼성,1000GB,M.2 2280,NVMe 1.3,3D TLC,삼성 Phoenix,3400MB/s,2500MB/s,O,O,O,,O,,2.38mm,5년,
67,삼성,,[삼성] 970 EVO M.2 2280 2TB,\1224190,삼성,2000GB,M.2 2280,NVMe 1.3,3D TLC,삼성 Phoenix,3500MB/s,2500MB/s,O,O,O,,O,,2.38mm,5년,
68,삼성,,[삼성] 970 PRO M.2 2280 512GB,\448950,삼성,512GB,M.2 2280,NVMe 1.3,3D MLC,삼성 Phoenix,3500MB/s,2300MB/s,O,O,O,,O,,2.38mm,5년,
69,삼성,,[삼성] 970 PRO M.2 2280 1TB,\860000,삼성,1024GB,M.2 2280,NVMe 1.3,3D MLC,삼성 Phoenix,3500MB/s,2700MB/s,O,O,O,,O,,2.38mm,5년,
70,삼성,,[삼성] 960 EVO M.2 2280 250GB,\145600,삼성,250GB,M.2 2280,NVMe 1.2,3D TLC,삼성 Polaris,3200MB/s,1500MB/s,O,O,O,,O,,2.38mm,3년,
71,삼성,,[삼성] 960 EVO M.2 2280 500GB,\260140,삼성,500GB,M.2 2280,NVMe 1.2,3D TLC,삼성 Polaris,3200MB/s,1800MB/s,O,O,O,,O,,2.38mm,3년,
72,삼성,,[삼성] 960 EVO M.2 2280 1TB,\501000,삼성,1000GB,M.2 2280,NVMe 1.2,3D TLC,삼성 Polaris,3200MB/s,1900MB/s,O,O,O,,O,,2.38mm,3년,
73,삼성,,[삼성] 960 PRO M.2 2280 512GB,\346000,삼성,512GB,M.2 2280,NVMe 1.2,3D MLC,삼성 Polaris,3500MB/s,2100MB/s,O,O,O,,O,,2.28mm,5년,
74,삼성,,[삼성] 960 PRO M.2 2280 1TB,\698000,삼성,1024GB,M.2 2280,NVMe 1.2,3D MLC,삼성 Polaris,3500MB/s,2100MB/s,O,O,O,,O,,2.28mm,5년,
75,삼성,,[삼성] 960 PRO M.2 2280 2TB,\1450000,삼성,2048GB,M.2 2280,NVMe 1.2,3D MLC,삼성 Polaris,3500MB/s,2100MB/s,O,O,O,,O,,2.28mm,5년,
76,삼성,,[삼성] 850 EVO M.2 2280 120GB,\109490,삼성,120GB,M.2 2280,SATA3,3D TLC,삼성 MGX 컨트롤러,540MB/s,500MB/s,O,O,,,,,,5년,
77,삼성,,[삼성] 850 EVO M.2 2280 250GB,\111280,삼성,250GB,M.2 2280,SATA3,3D TLC,삼성 MGX 컨트롤러,540MB/s,500MB/s,O,O,,,,,,5년,
78,삼성,,[삼성] 850 EVO M.2 2280 500GB,\186530,삼성,500GB,M.2 2280,SATA3,3D TLC,삼성 MGX 컨트롤러,540MB/s,500MB/s,O,O,,,,,,5년,
79,삼성,,[삼성] 850 EVO M.2 2280 1TB,\384350,삼성,1000GB,M.2 2280,SATA3,3D TLC,삼성 MGX 컨트롤러,540MB/s,500MB/s,O,O,,,,,,5년,
80,삼성,,[삼성] 850 PRO 128GB,\190650,삼성,128GB,2.5",SATA3,3D MLC,삼성 3-CORE MEX,550MB/s,520MB/s,O,O,,,,,6.8mm,10년,300TBW 제한
81,삼성,,[삼성] 850 PRO 256GB,\152400,삼성,256GB,2.5",SATA3,3D MLC,삼성 3-CORE MEX,550MB/s,520MB/s,O,O,,,,,6.8mm,10년,300TBW 제한
82,삼성,,[삼성] 850 PRO 512GB,\268900,삼성,512GB,2.5",SATA3,3D MLC,삼성 3-CORE MEX,550MB/s,520MB/s,O,O,,,,,6.8mm,10년,300TBW 제한
83,삼성,,[삼성] 850 PRO 1TB,\541900,삼성,1024GB,2.5",SATA3,3D MLC,삼성 3-CORE MEX,550MB/s,520MB/s,O,O,,,,,6.8mm,10년,300TBW 제한
84,삼성,,[삼성] 850 PRO 2TB,\1156700,삼성,2048GB,2.5",SATA3,3D MLC,삼성 3-CORE MEX,550MB/s,520MB/s,O,O,,,,,6.8mm,10년,300TBW 제한
85,삼성,,[삼성] 850 EVO mSATA 120GB,\73000,삼성,250GB,mSATA,SATA3,3D TLC,삼성 MGX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,3.85mm,5년,
86,삼성,,[삼성] 850 EVO mSATA 250GB,\122500,삼성,250GB,mSATA,SATA3,3D TLC,삼성 MGX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,3.85mm,5년,
87,삼성,,[삼성] 850 EVO mSATA 500GB,\172650,삼성,500GB,mSATA,SATA3,3D TLC,삼성 MGX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,3.85mm,5년,
