20,[Intel] 펜티엄 G4600 (카비레이크),\70400,Pentium,Intel,2개,4개,3.6 Ghz,지원 안함 ,3MB,HD 630,1100Mhz,2400Mhz,51W,LGA 1151,O,O,G4600
21,[Intel] 펜티엄 G4620 (카비레이크),\129360,Pentium,Intel,2개,4개,3.7 Ghz,지원 안함 ,3MB,HD 630,1100Mhz,2400Mhz,51W,LGA 1151,O,O,G4620
22,[Intel] 펜티엄 골드 G5400 (커피레이크),\69200,Pentium Gold,Intel,2개,4개,3.7 Ghz,지원 안함 ,4MB,UHD 610,1050Mhz,2400Mhz,54W,LGA 1151v2,O,O,G5400
23,[Intel] 펜티엄 골드 G5500 (커피레이크),\86900,Pentium Gold,Intel,2개,4개,3.8 Ghz,지원 안함 ,4MB,UHD 630 (i3),1100Mhz,2400Mhz,54W,LGA 1151v2,O,O,G5500
24,[Intel] 펜티엄 골드 G5600 (커피레이크),\98800,Pentium Gold,Intel,2개,4개,3.9 Ghz,지원 안함 ,4MB,UHD 630 (i3),1100Mhz,2400Mhz,54W,LGA 1151v2,O,O,G5600
25,[Intel] i3-4130 (하스웰) (벌크 + 쿨러),\120000,Core i3,Intel,2개,4개,3.4 Ghz,지원 안함 ,3MB,HD 4400,1150Mhz,1600Mhz,54W,LGA 1150,X,O,i3-4130
26,[Intel] i3-4150 (하스웰 리프레시) (벌크),\123130,Core i3,Intel,2개,4개,3.5 Ghz,지원 안함 ,3MB,HD 4400,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4150
27,[Intel] i3-4160 (하스웰 리프레시) (벌크 + 쿨러),\120000,Core i3,Intel,2개,4개,3.6 Ghz,지원 안함 ,3MB,HD 4400,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4160
28,[Intel] i3-4170 (하스웰 리프레시) (벌크 + 쿨러),\112560,Core i3,Intel,2개,4개,3.7 Ghz,지원 안함 ,3MB,HD 4400,1150Mhz,1600Mhz,54W,LGA 1150,X,O,i3-4170
29,[Intel] i3-4330 (하스웰) (벌크),\154000,Core i3,Intel,2개,4개,3.5 Ghz,지원 안함 ,4MB,HD 4600,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4330
30,[Intel] i3-4360 (하스웰 리프레시) (벌크),\200000,Core i3,Intel,2개,4개,3.7 Ghz,지원 안함 ,4MB,HD 4600,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4360
31,[Intel] i3-4370 (하스웰 리프레시) (벌크),\207680,Core i3,Intel,2개,4개,3.8 Ghz,지원 안함 ,4MB,HD 4600,1150Mhz,1600Mhz,54W,LGA 1150,X,X,i3-4370
32,[Intel] i3-6100 (스카이레이크),\124900,Core i3,Intel,2개,4개,3.7 Ghz,지원 안함 ,3MB,HD 530,1050Mhz,2133Mhz,51W,LGA 1151,O,O,i3-6100
